Question Number,Question,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Level,Medical Specialty,Group,umbrella_specialty,,,,,,,,,,,
55,كل الغدد التالية هي Endocrine باستثناء,الدرق.,الغدد اللعابية,الكظر .,جارات الشرق.,الثاني والثالث,,B,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
236,الصحيح حول Follicle Primordial:,يحوي خلية بيضية أولية.,تحاط الخلية بأكثر من صف من الخلايا الجريبية.,يحوي بذرة البيضة oogonium.,يوجد عميقا من قشر المبيض.,,,A,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
723,تسبب إصابة باحة الكلام الحسية لفيرنكا :,حبسة تعبيرية.,صمم.,حبسة استقبالية .,EXPRESSIVE APHASIA .,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
7,مصطلحات متضادة,البطني الخلفي,الداني القريب,الباطن الظاهر,التقدم التراجع,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
813,من أقسام النفرون ماعدا:,الكبيبة الكلوية,الأنبوب القريب,الشريان القطعي,الأنبوب البعيد,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
552,. العبارة الخاطئة المتعلقة بغدة الثدي,تقع فوق العضلة المنشارية,تقع فوق العضلة الصدرية الكبيرة,تنتج حديبات مونتغمري الزهم,تتألف من خمسة فصوص,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
265,تنتمي الثلمة الاسكية الصغيرة للعظم,الحرقفة والاسك والعانة,الورك والعجز,A+B,لا شئ مما سبق,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
76,كل ما يلي صحيح عن المري ما عدا :,يبطن بnonkeratinized stratified squamous epithelial,توجد gland esophagus في الطبقة المخاطية,الغدد المريئية الفؤادية توجد في الصفيحة المخصوصة.,يختلف نوع الألياف باختلاف المنطقة,,,B,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
50,العضو الذي يمر من الفرجة الأبهرية:,السلسلة الودية.,القناة الصدرية.,العصب الحجابي.,العصب المبهم.,فروع من الأوعية المعدية اليسرى.,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
579,كل ما يلي صحيح عن المثانة عدا :,تدعى URINARY BLADDER,تقع ضمن الحوض أمام عظمي العانة,عبارة عن وعاء لتخزين البول وإفراغه,تبلغ سعتها العظمي عند البالغ ٥٠٠ مل,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
311,مخاطية رقيقة تغطي الجزء الأمامي المكشوف من الصلبة,Eyelids,macula lutea,conjunctiva,fovea centralis,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
168,الخاطئ حول ال : Salivary Glands,صغيرة الحجم كلها,تنتج الغدد خارجية الإفراز اللعاب أثناء الأكل,يوجد ثلاث غدد خارجية في كل جانب,لا تمتلك الغدد داخلية الإفراز قنوات مفرغة,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
933,الجزء الأعرض من البوق,القمع,البرزخ,الانبورة,الجزء داخل الرحم,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
824,كل ما يلي صحيح عن البشرة عدا:,تتجدد بوساطة طبقاتها السطحية.,تدعى EPIDERMIS .,رقيقة في الفخذ والساعد.,ثخينة في أخمص القدم وراحة اليد.,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
65,من صفات التيه الغربالي عدا:,وجه وحشي يشكل الجدار الانسي للحجاج,وجه انسي يشكل الجدار الوحشي للأنف,يحمل القرينين العلوي والسفلي,مجموعة خلايا غربالية,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
139,من فروع Axillary Artery ما يلي عدا:,فوق الكتفي,صدري وحشي,تحت الكتفي,صدري أخرمي,,,A,Y1,Anatomy,ABCD,Anatomy,,139,من فروع Axillary Artery ما يلي عدا:,صدري أخرمي,صدري وحشي,تحت الكتفي,فوق الكتفي,,✅ OK,A,Y1
566,الفرع الجانبي الوحيد للسباتي الباطن,الوجهي,اللساني,العيني,الدرقي العلوى,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
475,الغدد على جانبي فتحة الأحليل تُدعى غدد:,بارتولين,سكين,بوك,مارتن,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
150,العبارة الخاطئة عن جوهر اللب :,غزير التوعية الدموية,غزير التعصيب,يحوي عناصر متكلسة أحيانا,غزير بالخلايا الشحمية,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
211,يشمل وتر آشيل وتر العضلة :,التوأمية الساقية,النعلية,ثنائية الرؤوس الفخذية,A+B,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
32,مرض Polycythemia يصيب هذه الخلايا...,Plasma cells,Macrophages,Neutrophils,Basophils,كل ما سبق خطا.,,E,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
343,يشمل وتر آشيل وتر العضلة :,التوأمية الساقية,النعلية,ثنائية الرؤوس الفخذية,A+B,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
3,Osteopetrosis :,عظام كثيفة وثقيلة.,هناك تراجع في Bone resorption (إرتشاف العظام).,هناك هشاشية في العظام.,الأول والثاني.,كل ما سبق خطا.,,D,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
309,من التغيرات التنكسية في الشبكية في اعتلال اللطخي الشيخي,Eyelid,macula lutea,Apparatus,a+c,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
984,تفرز خلايا بيتا في البنكرياس :,الغلوكاغون,الأنسولين,السوماتوستاتين,لا شيء مما سبق,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
793,الجزء الأضيق من البوق,القمع,البرزخ,الأنبورة,الجزء داخل الرحم,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1233,بتشكل الضفيرة العجزية من الفروع الشوكية :,L4-S5,L1-L4,L3-S4,L5-S3,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
131,تتوضع الأحدوبة الدالية في العضد على السطح:,الانسي,الوحشي,الخلفي,لا شيء مما سبق,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
462,الخلايا التي تتوضع في اللحمة بين النبيبات:,المولدة للنطاف,لايديغ,سيرتولي,لا شيء مما سبق,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
383,يتوضع الثلم ما بين البطينين الأمامي على :,الوجه القصي الضلعي,الوجه الحجابي,قاعدة القلب,قمة القلب,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
312,مفصل الورك حدد الصح: (2009 أولى),من المفاصل الكروية,سعة الحركة فيه أكثر من مفصل الكتف,أقل ثباتا من مفصل الكتف,الغشاء الزليلي لا يعزل رباط رأس الفخذ عن المفصل,,,a,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
558,تمرر السرة الكلوية :,الوريد والشريان الكلوي,الحويضة,أوعية لمفية وألياف ودية,كل ما سبق صحيح,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
498,كل مايلي صحيح عن المري عدا :,يتوضع في المنصف العلوي خلف الرغامي,مساره في البطن طويل,طوله في البطن حوالي ١ سم,يدخل البطن عبر الفرجة المرينية في الحجاب الحاجز,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
87,. يتم تعصيب العضلة الناصبة للشعرة:,اعصاب ودية عقدية,اعصاب ودية قبل عقدية,اعصاب نظيرة ودية بعدعقدية,اعصاب نظيرة ودية قبل عقدية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
41,المبيض من الأعضاء التناسلية عند الأنثى ماعدا:,النزح اللمفاوي إلى العقد الحرقفية الباطنة.,يتوضع المبيض بقطره الطولي بشكل شاقولي خلف الرباط العريض للرحم.,قبل البلوغ يكون سطحه أملس.,يتوضع المبيض عادة على جدار الحوض الجانبي ضمن انخفاض يدعى الحفرة المبيضية.,يأتي التعصيب من الضفيرة الأبهرية مع الشريان المبيضي.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
50,- يمر من الثقبة الإبرية الخشائية:,العصب القحفي العاشر,العصب القحفي الثالث,العصب القحفي السابع,العصب القحفي الأول,,,A,Y1,Anatomy,ABCD,Anatomy,,50,- يمر من الثقبة الإبرية الخشائية:,العصب القحفي الأول,العصب القحفي الثالث,العصب القحفي السابع,العصب القحفي العاشر,,✅ OK,A,Y1
441,السائل الدماغي الشوكي (اختر الخاطئة),له دور اطراحي,نقل هرموني,يفرز من الزغابات العنكبوتية,Csf,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
268,الظهارة المبطنة للغلالة الغمدية هي.,germinal epithelium.,straight tubules.,Mesothelium.,ductuli efferented.,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
24,يتوضع في الاخدود الاكليلي الأمامي:,الوريد القلبي الكبير.,الوريد القلبي الأمامي.,الشريان الاكليلي الأيمن.,الشريان الاكليلي الأيسر.,وريد القلب المتوسط.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
269,ترتكز العضلات التالية على الوجه الأنسي للظنبوب ما عدا: (2009),العضلة الناحلة.,العضلة نصف الوترية,العضلة الخياطية,العضلة المأبضية,,,d,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
608,نسيج ليفي يغطيه غشاء مخاطي يستر القوس السنخية:,دهليز الفم,اللثتين,جوف الفم المخصوص,القوس السنخية,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
36,تصادف simple squamous epithelium في الأماكن التالية:,The endothelium that lines blood and lymph vessels,the mesothelium of the pleural cavitiy,the mesothelium of the peritoneal cavitiy,الثاني والثالث.,كل ماسبق صحيح.,,E,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
133,. يوجد جوف التامور بين,الطبقتين المصليتين الجدارية والحشوية,التامور والقص,التامور والحجاب الحاجز,التامور والقلب,,,A,Y1,Anatomy,ABCD,Anatomy,,133,. يوجد جوف التامور بين,التامور والقلب,التامور والقص,التامور والحجاب الحاجز,الطبقتين المصليتين الجدارية والحشوية,,✅ OK,A,Y1
105,أهم مميزات الضلع الأولي وجود:,حدبية ليزفرانك (الأخمعية),الحدبية الدالية,الحدبية القترانية,الحدبية الضلعية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
631,أكثر أجزاء الأمعاء ثباتاً:,العفج,الصائم,اللفائفي,المستقيم,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
2,تتضمن العلامات الأساسية للـ Inflammation ما يلي ماعدا:,البرودة.,التورم.,الألم.,الثاني والثالث.,كلها علامات أساسية للالتهاب.,,A,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
257,تتوضع الثقبة المغذية للعضد وانطباع الغرابية العضدية على الوجه:,الانسي,الوحشي,الخلفي,لا شيء مما يلي,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
253,. مسؤول عن تنظيم الفعالية الحشوية والذاتية,Epithalamus,Subthalamus,Hypothalamus,Thalamus,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
23,المفصل الذي يسمح بـ 3 درجات من الحركة :,سرجي saddle,كروى ball and socket,لقمي condyloid,صائري pivot,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
629,يتشكل الأعصاب الوربية من الفروع الأمامية للأعصاب الشوكية:,ص1 حتى ص12,ص2 حتى ص11,ص2 حتى ص12,ص4 حتى ص15,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
433,أي من الشرايين التالية يسير ضمن منشقة المشرحين :,الشريان الزندي,الشريان العضدي,الشريان الكعبري,الشريان الزاوي,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1047,الأعصاب الحاسية تنقل المعلومات من الأعضاء التالية عدا :,العين,الأذن,الجلد,اللسان,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
204,من عضلات الجدار الخلفي للبطن ما عدا :,PSOAS.,LLIACUS .,.DIAPHRAM,المربعة القطنية .,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
120,تنشأ العضلة تحت الكتفية من : (2017 إضافية),الحفرة تحت الشوكية لعظم اللوح.,الحافة السفلية لشوك الكتف.,الحفرة تحت الكتفية لعظم اللوح.,أسفل الحافة الوحشية لعظم لوح الكتف.,أعلى الحافة الوحشية لعظم اللوح.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
564,المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية:,النوى القاعدية,القشرة المخية,جذع الدماغ,المادة البيضاء,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1093,يشكل نصفي الكرة المخية مع الدماغ البيني :,المخ,الدماغ,المخيخ,جذع الدماغ,,,A,Y1,Anatomy,ABCD,Anatomy,,1093,يشكل نصفي الكرة المخية مع الدماغ البيني :,جذع الدماغ,الدماغ,المخيخ,المخ,,✅ OK,A,Y1
843,كرة العين :,تشمل حوالي ثلث الحجاج.,3 غلالات .,الغلالة الداخلية القرنية والصلبة.,تدعى أيضا بالمقلة.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
74,. اختر الاجابة الخاطئة المتعلقة بالنوى القاعدية,تجاور المخيخ,منها lentiforem nucleus,تقع المحفظة الداخلية بين النوى القاعدية,منها caudate nucleus,,,A,Y1,Anatomy,ABCD,Anatomy,,74,. اختر الاجابة الخاطئة المتعلقة بالنوى القاعدية,منها caudate nucleus,منها lentiforem nucleus,تقع المحفظة الداخلية بين النوى القاعدية,تجاور المخيخ,,✅ OK,A,Y1
222,من المفاصل الثابتة:,السرجية.,الدرزية .,البكرية .,كروية.,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
290,ما يلي صحيح بالنسبة للوجه الحجازي ما عدا:,يحوي الشريان بين البطينين الأمامي,يتألف بشكل رئيسي من البطين الأيسر,يساهم البطين الأيمن بتشكيله,يرتكز على الحجاب الحاجز,,,A,Y1,Anatomy,ABCD,Anatomy,,290,ما يلي صحيح بالنسبة للوجه الحجازي ما عدا:,يرتكز على الحجاب الحاجز,يتألف بشكل رئيسي من البطين الأيسر,يساهم البطين الأيمن بتشكيله,يحوي الشريان بين البطينين الأمامي,,✅ OK,A,Y1
233,العبارة الصحيحة عن المبيض:,معظم نسيج المبيض يتألف من اللب.,مغطى بظهارة بسيطة اسطوانية.,معظم نسيج المبيض يتألف من قشر.,اللب والقشر منفصلان عن بعضهما بحاجز ليفي.,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
217,ك ل ما يلي صحيح عن هرمون calcitonin ما عدا:,يفرز من Parafollicular Cells,يرفع كالسيوم الدم,يخفض كالسيوم الدم,تثبيت كالسيوم العظام,,,B,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
164,عضلات جدار البطن الأمامي الوحشي ما عدا :,المستقيمة الظهرية,المائلة الخارجية,المائلة الداخلية,المستعرضة البطينة,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
823,يجري البول في الحالب بفضل:,التقلصات التمعجية,الجاذبية الأرضية,ضغط الرشح الكبي,A+B,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
58,أي الغدد التالية هي Endocrine Exocrine:,الدرق.,البالكرياس.,الغدد اللعابية.,النخامة.,جارات الدرق.,,B,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
31,اعرض قسم في جذع الدماغ,مستوى المزلاج,مستوى الوصل البصلي الجسري,مستوى الدماغ المتوسط,مستوى منتصف الجسر,,,المستوى الذنبي للبصلة,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
10,أي من المعالم الآتية لا يشاهد علي العظم الجبهي:,الصحفية المصفوية.,الثلمة الأنفية.,الثلمة الغربالية.,الجزء الحجابي.,,,A,Y1,Anatomy,ABCD,Anatomy,,10,أي من المعالم الآتية لا يشاهد علي العظم الجبهي:,الجزء الحجابي.,الثلمة الأنفية.,الثلمة الغربالية.,الصحفية المصفوية.,,✅ OK,A,Y1
115,ناتئ يأخذ شكل إصبع في وضعية نصف انثناء:,الغرابي,الابري,اللقمي,الأخرمي,,,A,Y1,Anatomy,ABCD,Anatomy,,115,ناتئ يأخذ شكل إصبع في وضعية نصف انثناء:,الأخرمي,الابري,اللقمي,الغرابي,,✅ OK,A,Y1
410,يقع القلب في المنصف:,الأمامي,الخلفي,الأوسط,الوحشي,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1032,كل ما يلي فروع القاعدي عدا :,المخيخي السفلي الأمامي,المخيخي العلوى,المخيخي السفلي الخلفي,المخي الخلفي,,,A,Y1,Anatomy,ABCD,Anatomy,,1032,كل ما يلي فروع القاعدي عدا :,المخي الخلفي,المخيخي العلوى,المخيخي السفلي الخلفي,المخيخي السفلي الأمامي,,✅ OK,A,Y1
197,. عضلة تصل الجذع بالراس,شبه المنحرفة,مربعة الرؤوس الفخذية,العضدية الكعبرية,ذات البطنين,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
586,كل ما يلي صحيح عن الأحليل الذكري عدا :,يبلغ طوله نحو ٢٠ سم,يقسم إلى أحليل خلفي وأحليل أمامي,يضم الإحليل الخلفي الإحليل الموثي والأحليل البصلي,يضم الإحليل الأمامي الإحليل الأسفنجي,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
5,أحد مايلي ال يعتبر منطقة وصل بين الشرايين والأوردة:,Capillaries,Sinusoidal,Distrbuting arteries,Arteriovenous anastomoses,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
50,عند الاصحاب البشرة السوداء يوجد الميلانين لديهم في,الطبقة القاعدية.,الطبقات العلوية.,الطبقة المحببة.,كل ما سبق.,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
785,يساهم بتروية المهبل الشرايين التالية عدا:,الفرجي الخارجي,الفرع المهبلي للشريان الرحمي,المستقيمي الوسط,المهبلي,,,A,Y1,Anatomy,ABCD,Anatomy,,785,يساهم بتروية المهبل الشرايين التالية عدا:,المهبلي,الفرع المهبلي للشريان الرحمي,المستقيمي الوسط,الفرجي الخارجي,,✅ OK,A,Y1
96,أهم ميزات الضلع الأولى وجود:,حديبة ليزفرانك (الأخمعية),الحديبة الدالية,الحديبة القترانية,الحديبة الضلعية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
247,أحد أقسام البوق التالية يحدث فيه اللقاح:(هام جد ا),Ismuth,Infundibulum,Ampula,intramural part,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
618,الشريان الخصوي فرع من :,الأبهر البطني,الشريان الفخذي,الأبهر الصدري,كل ما سبق خطأ,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
191,ما يلي من آليات التحكم ب الجزء القاصي من النخامى عدا :,GNRH,التلقيم الراجع السلبي,اوكسيتوسين,كل ما سبق صحيح,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
465,أي من الأوردة الآتية يصب في الوريد المأبضي :,الوريد الفرد,الصافن الصغير,الصافن الكبير,الراسي,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
19,عند تقلص العضلة الهيكلية :,يقل طول ألياف الأكتين,يقل طول ألياف الميوزين,يقل طول الياف الأكتين والميوزين,يزداد مقدار التداخل بين الياف الأكتين والميوزين,كل ما سبق صحيح,,D,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
81,يبرز على الوجه الأمامي الوحشي لعظم الفك العلوي :,الثقبة تحت الحجاج .,الحدبة النابية.,الحفرة النابية.,كل ما سبق صحيح .,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
173,الكبد :,أكبر غدة في الجسم,D-A + B صحيحتان,وزنه 200 غرام,يتوضع في Right Hypochondrium و Epigastric Region,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
18,مصطلحات الحركة اختر الإجابة الخاطئة:,في وضعية الاستلقاء يكون عظما الساعد متصالبان.,التبعيد : تبعد الطرف عن الجسم.,يتحرك الطرف في المستوى الاكليلي خلال التقريب والتبعيد.,التقريب نضع الطرف بجانب الجسم.,,,A,Y1,Anatomy,ABCD,Anatomy,,18,مصطلحات الحركة اختر الإجابة الخاطئة:,التقريب نضع الطرف بجانب الجسم.,التبعيد : تبعد الطرف عن الجسم.,يتحرك الطرف في المستوى الاكليلي خلال التقريب والتبعيد.,في وضعية الاستلقاء يكون عظما الساعد متصالبان.,,✅ OK,A,Y1
32,من صفات العظم الجداري ما عدا :,صفيحة رباعية,على وجهه الداخلي انطباعات الشريان الصدغي الأوسط,له 4 زوايا,وجهه الخارجي محدب,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
53,أي العضلا التالية ترتبط بالعظم القذالي:,الطويلة الرأسية.,الطولى الرأسية .,الأذنية الخلفية.,الأذنية العلوية.,المنحرفة الراسية العلوية.,,a,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
804,يدخل سرة الكلية من الخلف للأمام,شریان - وريد - حويضة,وريد - شريان - حويضة,حويضة - شريان - وريد,حويضة - وريد - شريان,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
367,أصغر الحليمات الذوقية وأكثرها عددًا:,الخيطية,الفطرية,الورقية,المحوطة,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
36,. اختر الاجابة الخاطئة حول الابهم البطني:,ينزل اما الفقرات القطنية,يعطي فروع تامورية وقصبية,يتشعب الى فرعين هما الشريانان الحرقفيين المشتركان الايمن والايسر,من فروعه الامامية الجذع البطني,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
171,يقع العرف بين المدورين في عظم :,الحرقفة.,العانة.,الإسك.,الفخذ.,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
120,خلايا مضلعة لها 6 سطوح او أكثر حامضية التلون هي :,خلايا كوبفر,خلايا نجمية,,جميع ما سبق صحيح.,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
107,الأضلاع الكاذبة الجواب الصحيح:,نتصل بالقص بوساطة الغضاريف العضلية.,لا تتصل بعظم القص ويتصل غضروفها الأمامي بغضروف الضلع الواقع فوقها.,يبقى غضروفها الضلعي حرا ومطمورا ضمن العضلات.,كل ما سبق خطأ.,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
101,تتعصب العضلة العضدية من: (2017 أولى),الناصف.,العضلي الجلدي.,الكعبري.,الإبطي.,الضفيرة العضدية .,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
674,ينتج هرمون التيموسين من :,الغدة الصعترية,الغدة الصنوبرية,النخامي,الدرق,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
274,تتوضع حديبة العضلة المربعة الفخذية على:,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
437,ينشأ شريان ظهر القدم من :,الشريان الظنبوبي الأمامي,الشريان الظنبوبي الخلفي,الشريان المأبضي مباشرة,كل ما سبق خطأ,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
607,الحويصل المنوي إختر الإجابة الخاطئة :,يبلغ طوله نحو ٥ سم,يتوضع على الوجه الأمامي للمثانة,يشكل القناة الدافقة مع الأسهر,هو عضو كثير الإلتفاف,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
358,اختر الإجابة الخاطئة:,ينعزل الأنف عن الفم بالحنك الصلب,يتصل الأنف بالوحشي مع الحجاج والجيب الوتدي,يتصل جوف الأنف في الخلف مع البلعوم الأنفي,للأنف اتصال مع الجيب الجبهي,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
50,تمفصلات عظاك رسغ اليد:,المربعى مع قاعدة المشط الاول,المنحرفى مع قاعدة المشط الثالث,الكبير مع قاعدة المشط الثانى,الزورقى مع الكلابى,,,A,Y2,Anatomy,ABCD,Anatomy,,,,,,,,,,,
99,إن غدد برونر :,أنبوبية ملتفة متشعبة.,توجد في تحت المخاطية.,خلاياها تفرز محلول حامضي.,خلاياها لها دور في تجهيز المواد المهضومة في المعدة لتأثير الخمائر البنكرياسية,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
20,- يتجه إبهام اليد بعيداً عن المستوى الناصف في:,الكب,الاستلقاء,الشنف,الشتر,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1,- هو قاعدة التشريح والمنطلق الأساسي :,التشريح الوصقي,التشريح الوظيفي,التشريح الجهازي,التشريح السريري,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
498,عضلات البلعوم المضيقة تشمل:,المعصرة العلوية,المعصرة الوسطى,المعصرة السفلية,كل مايلى صحيح,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
357,تتوضع المثانة الممتلئة والرحم المتضخم في:,الناحية المغبثية اليمنى,الناحية المغبثية اليسرى,الخثلية,لا شيء مما سبق,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
166,البقعة الكثيفة:,تظهر في منطقة اتصال النبيب المعوج البعيد مع القطب الوعائي,تكون حساسة لتراكيز الشوارد وحجم الماء,ترسل إشارات تحرر الرينين إلى الدوران,كل ما سبق صحيح,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
413,أصغر فروع الجذع الزلاقي هو :,الشريان المعدي الأيسر,الشريان الطحالي,الشريان الكبدي,الشريان الكظري,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1166,في الرؤية القريبة يحدث ماعدا :,تقلص العضلة الهدبية,تنبيه ودي,زيادة تحدب العدسة,زيادة القعرة الكاسرة للعدسة,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
390,يمكن جس صدمة القمة في :,قاعدة القلب,الوجه الحجابي للقلب,قمة القلب,الوجه الأمامي للقلب,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
263,. العقدة المسؤولة عن تقبض الحدقة,الهدبية,الجناحية الحنكية,الاذنية,عقدة الفك السفلي,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
211,وظائف من norepinephrine:,يحرض على تفكيك الغليكوجين,يقبض أوعية الجهاز الهضمي,يزيد معدل ضربات القلب,a+b,,,D,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
142,كل مايلي صحيح عدا:,يغطى العاج بالملاط عند تاج السن والجذر,معظم المادة الصلبة للسن مؤلفة من العاج,يغطى العاج بالميناء عند تاج السن,يتألف اللب من حجرتين (في التاج وقناة الجذر),,,A,Y2,Histology,ABCD,Anatomy,,142,كل مايلي صحيح عدا:,يتألف اللب من حجرتين (في التاج وقناة الجذر),معظم المادة الصلبة للسن مؤلفة من العاج,يغطى العاج بالميناء عند تاج السن,يغطى العاج بالملاط عند تاج السن والجذر,,✅ OK,A,Y2
27,خلايا تحوي الهيستامين.,Plasma cells,Macrophages,Neutrophils,Basophils,كل ما سبق خطا.,,D,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
134,ينتهي العرف الحرقفي في الأمام بـ:,الحديبة الحرقفية,الشوكة الحرقفية الأمامية العلوية,الشوكة الحرقفية الأمامية السفلية,الثلمة الكبيرة,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
