ID,QUESTION,GROUND TRUTH,MODEL,PREDICTION,LABEL
,,,jais,اللفافة العجزية القطنية.,
,,,llama31_8b_inst,سطح العظم العاني,
,,,llama33_70b_inst,السطح الخلفي للفخذ تحت المدور الكبير,
,,,med42,السطح المدوري الأصلي (Facies Poplitea),
,,,medgemma,العضلة المزدوجة الرؤوس,
,,,meditron,السطح الخلفي للفخذ تحت المدور الكبير هو السطح الخلفي للفخذ.,
,,,mistral_7b,سطح الفخذ الخلفي,
,,,mistral_small,السطح الخلفي للفخذ,
,,,silma,سطح خلفي للفخذ,
239,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,LH,allam_7b_inst_prev,هرمون LH,
,,,aya_expanse_8b,هرمون الإستروجين,
,,,claude,LH (الهرمون اللوتيني),
,,,deepseek,الهرمون اللوتيني,
,,,falcon,لوتين تيستوستيرون (LH),
,,,fanar,.,
,,,gemini,الهرمون الملوتن,
,,,gemma3_27b_it,هرمون اللوتين,
,,,gpt52,الهرمون اللوتيني,
,,,jais,الهرمون اللوتيني,
,,,llama31_8b_inst,هرمون الأدرينالين,
,,,llama33_70b_inst,هرمون الإستروجين,
,,,med42,لوتينيزينج هورمون (LH),
,,,medgemma,الهرمون اللوتيني,
,,,meditron,هرمون LH.,
,,,mistral_7b,أدراجلين,
,,,mistral_small,الهرمون الموجه للجهاز التناسلي,
,,,silma,هرمون الغدد التناسلية الأنثوية,
251,ما هو العصب الذي يعصب الغدة النكفية؟,تحت اللساني,allam_7b_inst_prev,العصب الوجهي,
,,,aya_expanse_8b,العصب الوجهي,
,,,claude,العصب اللساني البلعومي (التاسع),
,,,deepseek,العصب الوجهي (العصب القحفي السابع),
,,,falcon,عصب السيميتك,
,,,fanar,line.,
,,,gemini,العصب الأذني الصدغي,
,,,gemma3_27b_it,العصب الوجهي,
,,,gpt52,العصب الأذني الصدغي,
,,,jais,العصب الوجهي (VII),
,,,llama31_8b_inst,عصب الفك السفلي,
,,,llama33_70b_inst,العصب المبهم,
,,,med42,العصب المبهم (Vagus nerve) - الفرع النكفي (Nodose ganglion branch),
,,,medgemma,العصب الوجهي,
,,,meditron,العصب الوجهي.,
,,,mistral_7b,عصب النكف,
,,,mistral_small,العصب الوجهي,
,,,silma,عصب الوجه,
271,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,الحلقي,allam_7b_inst_prev,الغضروف الحلقي الأول,
,,,aya_expanse_8b,غضروف لارينجوف (Cartilago thyroidea),
,,,claude,الغضروف الحلقي (Cricoid cartilage),
,,,deepseek,الغضروف الحلقي,
,,,falcon,الغضروف الدائرى,
,,,fanar,الحلقة الرغامية الأولى؟,
,,,gemini,الغضروف الحلقي,
,,,gemma3_27b_it,غضروف حلقي,
,,,gpt52,الغضروف الحلقي,
,,,jais,الغضروف الحلقي (Epiglottis cartilage).,
,,,llama31_8b_inst,الغضروف الصفاقي,
,,,llama33_70b_inst,الغضروف الحلقي الأول,
,,,med42,غضروف كريكويد (Cricoid cartilage),
,,,medgemma,الغضروف الدرقي,
,,,meditron,الغضروف الحلقي.,
,,,mistral_7b,إنتهاء الحياة الجنسية,
,,,mistral_small,غضروف الحنجرة,
,,,silma,غضروف الحلق الرغامي,
274,كم عدد العضلات بين العظمية الأخمصية؟,3,allam_7b_inst_prev,ثلاث عضلات,
,,,aya_expanse_8b,16 عضلة,
,,,claude,3,correct
,,,deepseek,أربع عضلات,
,,,falcon,4,
,,,fanar,مصية؟,
,,,gemini,ثلاثة,
,,,gemma3_27b_it,ثلاثة عشر عضلة,
,,,gpt52,أربع عضلات,
,,,jais,اثنتان (بين عظمتي السُّلامى الأولى والثانية).,
,,,llama31_8b_inst,عضلات الأخمصية 4.,
,,,llama33_70b_inst,أربعة عضلات,
,,,med42,أربعة عضلات,
,,,medgemma,ثلاث عضلات,
,,,meditron,4 عضلات.,
,,,mistral_7b,ثلاثة عضلة,
,,,mistral_small,20 عضلة,
,,,silma,18,
282,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,المزمار,allam_7b_inst_prev,الرُّدغَة,
,,,aya_expanse_8b,الحلق الصوتي,
,,,claude,المنطقة المزمارية (Glottis),
,,,deepseek,الطية الصوتية والفراغ بين الطيات,
,,,falcon,الحبال الصوتية,
,,,fanar,الحنجرة,
,,,gemini,المزمار,correct
,,,gemma3_27b_it,حيز الدهليز الحنجري,
,,,gpt52,المزمار,correct
,,,jais,الحنجرة الصوتية (Larynx),
,,,llama31_8b_inst,الحنجرة الصوتية,
,,,llama33_70b_inst,المنطقة الغلصمية,
,,,med42,المزمار (Rima Glottidis),
,,,medgemma,الحنجرة الحقيقية,
,,,meditron,المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما هي المنطقة الصوتية.,
,,,mistral_7b,حوض المسافة الصوتيتين,
,,,mistral_small,الشق الصوتي,
,,,silma,مسافة بين الطيتين الصوتيتين,
285,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,العصب الوجهي.,allam_7b_inst_prev,العصب الوجهي,
,,,aya_expanse_8b,العصب اللساني الوجهي,
,,,claude,عصب حبل الطبل (Chorda tympani),
,,,deepseek,العصب الوجهي (العصب القحفي السابع),
,,,falcon,عصب الذوق,
,,,fanar,العصب اللساني البلعومي,
,,,gemini,العصب الوجهي,
,,,gemma3_27b_it,العصب الوجهي,
,,,gpt52,الحبل الطبلي,
,,,jais,العصب الوجهي,
,,,llama31_8b_inst,العصب الشهم.,
,,,llama33_70b_inst,العصب السنخي اللساني,
,,,med42,العصب اللساني (Nervus lingualis),
,,,medgemma,العصب الوجهي,
,,,meditron,العصب اللساني.,
,,,mistral_7b,نرف اللسان الأمامي,
,,,mistral_small,العصب الوجهي,
,,,silma,عصب الوجه,
297,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,كيتامين,allam_7b_inst_prev,الأفيونات: مورفين,
,,,aya_expanse_8b,فايسلين (فازوبرسين),
,,,claude,Ketamine,
,,,deepseek,كيتامين,correct
,,,falcon,الكريو بروكلين,
,,,fanar,concise line.,
,,,gemini,الكيتامين,
,,,gemma3_27b_it,سلفات المغنيسيوم,
,,,gpt52,كيتامين,correct
,,,jais,لا يوجد دواء أمثل واحد لبدء التخدير لمريض مصاب بنزف حاد. يعتمد اختيار الدواء على سياسات المستشفى وتوفر الموارد والخبرة السريرية. الهدف هو تحقيق تخدير آمن وفعال بأسرع وقت ممكن مع تقليل المخاطر المرتبطة بالنزف.,
,,,llama31_8b_inst,ليدوكايين,
,,,llama33_70b_inst,أتروبين,
,,,med42,إتوميدات,
,,,medgemma,كيتامين,correct
,,,meditron,إتوميدات.,
,,,mistral_7b,انتقال نزف,
,,,mistral_small,كيتامين,correct
,,,silma,فينيتانين,
301,ما هو الترياق المناسب للتسمم بالمورفين؟,A. النالوكسون,allam_7b_inst_prev,نالوكسون,
,,,aya_expanse_8b,نالوكسون (نالوكسون),
,,,claude,نالوكسون,
,,,deepseek,نالوكسون,
,,,falcon,نالوكسون,
,,,fanar,هائي,
,,,gemini,النالوكسون,
,,,gemma3_27b_it,نالوكسون,
,,,gpt52,نالوكسون,
,,,jais,Naloxone.,
,,,llama31_8b_inst,نالوكسون,
,,,llama33_70b_inst,نالوكسون,
,,,med42,نالوكسون,
,,,medgemma,نالوكسون,
,,,meditron,نالوكسون.,
,,,mistral_7b,200-300 ملليغرام,
,,,mistral_small,نالوكسون,
,,,silma,نالوكسون,
345,ما هي الروابط التي تربط سلسلتي عديدي النكليوتيد مع بعضهما البعض؟,هيدروجينية.,allam_7b_inst_prev,الروابط الهيدروجينية,
,,,aya_expanse_8b,روابط الهيدروجينية,
,,,claude,روابط هيدروجينية,
,,,deepseek,الروابط الهيدروجينية,
,,,falcon,الهيدروجين,
,,,fanar,روابط هيدروجينية,
,,,gemini,روابط هيدروجينية,
,,,gemma3_27b_it,روابط فوسفاتية ثنائية استر,
,,,gpt52,روابط هيدروجينية,
,,,jais,روابط هيدروجينية,
,,,llama31_8b_inst,رابطة فوسفاتية,
,,,llama33_70b_inst,روابط هيدروجينية,
,,,med42,روابط هيدروجينية,
,,,medgemma,روابط فوسفاتية ثنائية,
,,,meditron,روابط هيدروجينية.,
,,,mistral_7b,علامات شبكة هامش,
,,,mistral_small,الروابط الهيدروجينية,
,,,silma,روابط الفسفوديستير,
349,ما الذي يدل عليه تقدير نسبة تنوع النمط الظاهري لخلة ما بسبب الاختلافات الجينية؟,قابلية الانتقال بالوراثة.,allam_7b_inst_prev,التباين الوراثي,
,,,aya_expanse_8b,تنوع جيني,
,,,claude,التوريثية (Heritability),
,,,deepseek,التوريث,
,,,falcon,تعبير النمط الظاهري incomplete,
,,,fanar,التباين الجيني,
,,,gemini,قابلية التوريث,
,,,gemma3_27b_it,التباين الجيني,
,,,gpt52,الوراثية,
,,,jais,التنوع الجيني.,
,,,llama31_8b_inst,التنوع الوراثي,
,,,llama33_70b_inst,التركيب الوراثي,
,,,med42,تنوع جيني,
,,,medgemma,التباين الجيني,
,,,meditron,الوراثة.,
,,,mistral_7b,نسبة الهوية الجينية (Genetic Diversity Ratio),
,,,mistral_small,الوراثة,
,,,silma,تتغير الخلايا في الخلة بشكل متباين.,
353,ما هو مقدار المادة الوراثية التي يتشاركها أقرباء من الدرجة الثانية مع المستلفت؟,سدس مادتهم الوراثية,allam_7b_inst_prev,مقدار المادة الوراثية المشتركة بين الأقارب من الدرجة الثانية والمستلفت هو 25%.,
,,,aya_expanse_8b,25%,
,,,claude,1/4,
,,,deepseek,12.50%,
,,,falcon,12.50%,
,,,fanar,لفت؟,
,,,gemini,12.50%,
,,,gemma3_27b_it,خمسون بالمئة,
,,,gpt52,٢٥٪,
,,,jais,25%,
,,,llama31_8b_inst,25% من المادة الوراثية,
,,,llama33_70b_inst,ربع المادة الوراثية,
,,,med42,12.5% من المادة الوراثية,
,,,medgemma,12.50%,
,,,meditron,25%,
,,,mistral_7b,25%,
,,,mistral_small,12.50%,
,,,silma,25%,
364,علام تحتوي الخلايا التي يعبر عنها مصطلح الهيولي المتغايرة؟,متقدرات سليمة وطافرة,allam_7b_inst_prev,الهيولي المتغايرة: تحتوي على عضيات غير نموذجية.,
,,,aya_expanse_8b,نواة غير موجودة، سيتوبلازم متغير.,
,,,claude,كروماتين مكثف (Heterochromatin),
,,,deepseek,عضيات مختلفة,
,,,falcon,لؤلؤة هيولي,
,,,fanar,يرة؟,
,,,gemini,حبيبات مختلفة الحجم والكثافة,
,,,gemma3_27b_it,نوى متعددة,
,,,gpt52,كروماتين متكثف غير نشط,
,,,jais,الخلايا المتخصصة.,
,,,llama31_8b_inst,خلايا هيولي متغايرة,
,,,llama33_70b_inst,نواة واحدة,
,,,med42,ليزوزومات,
,,,medgemma,الهيولي المتغايرة,
,,,meditron,الهيولى المتغايرة.,
,,,mistral_7b,خلايا هيولية متغيرة,
,,,mistral_small,خلايا دم بيضاء,
,,,silma,نواة واحدة,
368,ما هي الرابطة في البنية الثانوية للحمض النووي؟,هيدروجينية,allam_7b_inst_prev,الروابط الهيدروجينية,
,,,aya_expanse_8b,رابطة هيدروجينية,
,,,claude,الرابطة الهيدروجينية,
,,,deepseek,الروابط الهيدروجينية بين القواعد النيتروجينية,
,,,falcon,الهيدروجين,
,,,fanar,؟,
,,,gemini,روابط هيدروجينية,
,,,gemma3_27b_it,روابط هيدروجينية,
,,,gpt52,روابط هيدروجينية,
,,,jais,روابط هيدروجينية,
,,,llama31_8b_inst,رابطة هيدروجينية,
,,,llama33_70b_inst,الرابطة الهيدروجينية,
,,,med42,رابطة هيدروجينية,
,,,medgemma,روابط هيدروجينية,
,,,meditron,رابطة هيدروجينية.,
,,,mistral_7b,نويل تراس,
,,,mistral_small,رابطة هيدروجينية,
,,,silma,رابطة فسفوديستير,
371,ما هي العملية التي يتم بها تكوين متعضية تشبه الأبوين من بيضة مخصبة؟,التنامي الجنيني,allam_7b_inst_prev,الانقسام الميوزي,
,,,aya_expanse_8b,الانقسام المنصفي (Meiosis),
,,,claude,التخلق,
,,,deepseek,التكاثر الجنسي,
,,,falcon,الانقسام الخليوي الانجيحي,
,,,fanar,تكوين متعضية تشبه الأبوين من بيضة مخصبة: تكوين متعضية تشبه الأبوين من بيضة مخصبة.,
,,,gemini,التكاثر الجنسي,
,,,gemma3_27b_it,انشقاق الأرومة,
,,,gpt52,التطور الجنيني,
,,,jais,التكاثر اللاجنسي,
,,,llama31_8b_inst,التخصيب الفعّال,
,,,llama33_70b_inst,الانقسام الميتوزي,
,,,med42,partenogenesis (توليد بلا جنس),
,,,medgemma,انشطار الأجنة,
,,,meditron,التخصيب.,
,,,mistral_7b,تكوين متعضية بيضية مخصبة: تشكيل بيضة مخصبة (Embryoid body formation),
,,,mistral_small,التخصيب,
,,,silma,التقسيم الثنائي,
374,ما هي البنى السيتوبلازمية المغلفة بغشاء واحد على الأقل؟,العضبيات,allam_7b_inst_prev,العضيات,
,,,aya_expanse_8b,العضيات الخلوية,
,,,claude,العضيات,
,,,deepseek,العضيات,
,,,falcon,العضيات,
,,,fanar,قل؟,
,,,gemini,عضيات,
,,,gemma3_27b_it,عضيات خلوية,
,,,gpt52,العُضيّات السيتوبلازمية الغشائية,
,,,jais,الشبكة الإندوبلازمية,
,,,llama31_8b_inst,الخلايا المنجلية.,
,,,llama33_70b_inst,الحبيبات الصغيرة والكبيرة والشبكة الإندوبلازمية والميتوكوندريا والجسيمات الحالكة والجسيمات الشحمية والجسيمات القاعدية والجسيمات الدقيقة والجسيمات الحبيبية والجسيمات العصارية والجسيمات الليبيدية والجسيمات الميلانينية والجسيمات المخاطية والجسيمات النسيجية والجسيمات البلازمية والجسيمات العصبية والجسيمات اللمفاوية والجسيمات الدموية والجسيمات الغدية والجسيمات الصماء والجسيمات العضلة والجسيمات الغشائية والجسيمات القشرية والجسيمات المخاطية والجسيمات الوراثية والجسيمات العصبية والجسيمات الدماغية والجسيمات الشبكية والجسيمات العينية والجسيمات السمعية والجسيمات الذوقية والجسيمات اللمسية والجسيم,
,,,med42,ليزوسومات,
,,,medgemma,عضيات خلوية,
,,,meditron,الغشاء الخلوي.,
,,,mistral_7b,بنية سيتوبلازمية مغلفة واحدة,
,,,mistral_small,الميتوكوندريا والبلعمة,
,,,silma,النواة,
380,ما الذي تساعد عليه حلقة الأكتين المتقلصة؟,انقسام النواة,allam_7b_inst_prev,تقلص العضلات,
,,,aya_expanse_8b,في تكوين الشكل النهائي للعضو.,
,,,claude,الانقسام الخلوي (Cytokinesis),
,,,deepseek,انزلاق خيوط الأكتين,
,,,falcon,الحركة الخلوية,
,,,fanar,in one concise line.,
,,,gemini,انقسام السيتوبلازم,
,,,gemma3_27b_it,انقباض العضلات,
,,,gpt52,الانقسام الخلوي السيتوبلازمي,
,,,jais,الانقباض العضلي.,
,,,llama31_8b_inst,ATP اللازم.,
,,,llama33_70b_inst,انقباض العضلات,
,,,med42,تقلص العضلات,
,,,medgemma,انقباض العضلات,
,,,meditron,انقباض العضلات.,
,,,mistral_7b,فيستون فيبرون,
,,,mistral_small,انقباض العضلات,
,,,silma,نقل الأيونات,
388,كم عدد القواعد الآزوتية اللازمة لإنتاج بروتين الأنسولين المكوّن من 51 حمض أميني إنتاجاً كاملاً؟,153,allam_7b_inst_prev,11,
,,,aya_expanse_8b,20 قاعدة آزوتية,
,,,claude,159,
,,,deepseek,153 قاعدة آزوتية,
,,,falcon,51,
,,,fanar,153,correct
,,,gemini,153 قاعدة آزوتية,
,,,gemma3_27b_it,153 قاعدة نيتروجينية,
,,,gpt52,153 قاعدة آزوتية,
,,,jais,9,
,,,llama31_8b_inst,12 قاعدة نيوكليوتيدية,
,,,llama33_70b_inst,51 قاعدة آزوتية,
,,,med42,153 قاعدة آزوتية,
,,,medgemma,153 قاعدة آزوتية,
,,,meditron,153 قاعدة آزوتية.,
,,,mistral_7b,4 قواعد,
,,,mistral_small,3 قواعد,
,,,silma,153,correct
390,ما هو أول عنصر من عناصر الدراسة العلمية المنهجية؟,الاختبار والنتائج .,allam_7b_inst_prev,الملاحظة,
,,,aya_expanse_8b,السؤال البحثي,
,,,claude,تحديد المشكلة,
,,,deepseek,الملاحظة,
,,,falcon,الملاحظة,
,,,fanar,جية؟,
,,,gemini,تحديد المشكلة,
,,,gemma3_27b_it,الملاحظة,
,,,gpt52,الملاحظة,
,,,jais,الملاحظة,
,,,llama31_8b_inst,الأسئلة المحددة,
,,,llama33_70b_inst,التحليل المنهجي,
,,,med42,ملاحظة,
,,,medgemma,الملاحظة,
,,,meditron,تحديد المشكلة أو السؤال البحثي.,
,,,mistral_7b,هدف الدراسة,
,,,mistral_small,الملاحظة,
,,,silma,تحديد المشكلة,
430,ما هي طبيعة الأشعة السينية؟,اشعاعات كهر طيسية,allam_7b_inst_prev,غير مقطعية,
,,,aya_expanse_8b,أشعة كهرومغناطيسية عالية الطاقة.,
,,,claude,موجات كهرومغناطيسية,
,,,deepseek,موجات كهرومغناطيسية عالية الطاقة,
,,,falcon,موجات elektromagnetiyye,
,,,fanar,ئي,
,,,gemini,موجات كهرومغناطيسية,
,,,gemma3_27b_it,إشعاع مؤين,
,,,gpt52,إشعاع كهرومغناطيسي مؤين,
,,,jais,إشعاع كهرومغناطيسي,
,,,llama31_8b_inst,أشعة إشعاعية,
,,,llama33_70b_inst,أشعة كهرومغناطيسية,
,,,med42,إشعاع إكس,
,,,medgemma,إشعاع مؤين,
,,,meditron,أشعة سينية.,
,,,mistral_7b,نوع لازمي بالمراقبة,
,,,mistral_small,إشعاع أيوني,
,,,silma,اشعة كهرومغناطيسية,
433,لماذا يُستخدم الماء في درجة معينة كمادة مرجعية للوزن النوعي؟,قيمتها العظمى,allam_7b_inst_prev,الوزن النوعي للماء: 1,
,,,aya_expanse_8b,بسبب ثباته الكيميائي والفيزيائي.,
,,,claude,لأن كثافة الماء تكون أعلى ما يمكن عند درجة 4 مئوية,
,,,deepseek,معايرة المقاييس المخبرية,
,,,falcon,كثافتها القصوى,
,,,fanar,ي؟,
,,,gemini,كثافته معروفة,
,,,gemma3_27b_it,كثافة الماء,
,,,gpt52,لثبات كثافته عند ٤°م,
,,,jais,الإجابة: لأن كثافة الماء معروفة وثابتة عند درجة حرارة معينة.,
,,,llama31_8b_inst,ماء مالح,
,,,llama33_70b_inst,لأن كثافته هي 1 غ/سم3,
,,,med42,لتوحيد القياسات,
,,,medgemma,كثافة الماء القياسية,
,,,meditron,لأن كثافته ثابتة عند درجة حرارة معينة.,
,,,mistral_7b,دقيق الماء,
,,,mistral_small,كثافة معروفة,
,,,silma,لأن وزن النوعي للمياه هو 1,
460,ماذا تصدر النظائر المشعة في التصوير بالأصدر البوزتروني؟,بوزترونات,allam_7b_inst_prev,بوزيترونات,
,,,aya_expanse_8b,إشعاع بيتا سلبي,
,,,claude,بوزيترونات,
,,,deepseek,بوزيترونات,
,,,falcon,فوتونات annihilation,
,,,fanar,إلكترونات موجبة,
,,,gemini,بوزيترونات,
,,,gemma3_27b_it,أشعة جاما,
,,,gpt52,بوزيترونات,
,,,jais,إشعاع بوزيتروني.,
,,,llama31_8b_inst,إشعاع البوزترون,
,,,llama33_70b_inst,جسيمات جاما,
,,,med42,فلور-18-ديوكسي-جلوكوز (FDG),
,,,medgemma,إشعاع جاما,
,,,meditron,فوتونات.,
,,,mistral_7b,توزيع بوزتروني,
,,,mistral_small,فوتونات غاما,
,,,silma,إصدار بوزترون,
465,ما هو الوسط الذي تكون فيه كثافة الأيونات الموجبة والسالبة أكبر من كثافة الأيونات المعتدلة؟,بلازما,allam_7b_inst_prev,محلول مركز,
,,,aya_expanse_8b,وسط مُقَطَّب كهربائياً,
,,,claude,البلازما,
,,,deepseek,البلازما,
,,,falcon,السائل الدماغي Whisky,
,,,fanar,وسط الأيونات,
,,,gemini,البلازما,
,,,gemma3_27b_it,محلول كهربائي,
,,,gpt52,البلازما,
,,,jais,البلازما.,
,,,llama31_8b_inst,الوسط الإلكتروليتي,
,,,llama33_70b_inst,الوسط الملحي,
,,,med42,نسيج عضلي,
,,,medgemma,محلول ملحي,
,,,meditron,المحلول المائي.,
,,,mistral_7b,عين المياه البنية الخليوية,
,,,mistral_small,البلازما,
,,,silma,وسط قلوي,
471,ما هي الظاهرة التي تنقسم فيها نواة ذات عدد كتلي كبير إلى نواتين أو أكثر لكل منهما عدد كتلي متوسط؟,ظاهرة الانشطار النووي.,allam_7b_inst_prev,انبعاث ألفا,
,,,aya_expanse_8b,انقسام نووي متعدد (Meiosis),
,,,claude,الانشطار النووي,
,,,deepseek,الانشطار النووي,
,,,falcon,митوز,
,,,fanar,line.,
,,,gemini,الانشطار النووي,
,,,gemma3_27b_it,انشطار نووي,
,,,gpt52,الانشطار النووي,
,,,jais,ANOMALOUS NUCLEOSIS,
,,,llama31_8b_inst,انقسام متساوي غير متسلسل,
,,,llama33_70b_inst,الانقسام الاختزالي,
,,,med42,انشطار نووي,
,,,medgemma,الانشطار النووي,
,,,meditron,الانشطار النووي.,
,,,mistral_7b,تقطيع جسم الجسم العظمي (Fractura corporis ossis),
,,,mistral_small,انشطار نووي,
,,,silma,الانشطار النووي,
518,ما هو العلم الذي يقوم بحساب البعد بين الذرات عند معرفة الطول الموجي للأشعة السينية وقياس الزاوية؟,علم البلورات,allam_7b_inst_prev,علم البلورات,correct
,,,aya_expanse_8b,علم البلورة (Crystallography),
,,,claude,علم البلورات بالأشعة السينية (X-ray crystallography),
,,,deepseek,علم البلورات بالأشعة السينية,
,,,falcon,결정ية الأشعة السينية,
,,,fanar,Answer in one concise line.,
,,,gemini,علم البلورات بالأشعة السينية,
,,,gemma3_27b_it,حيود الأشعة السينية,
,,,gpt52,علم البلورات بالأشعة السينية,
,,,jais,علم البلورات,correct
,,,llama31_8b_inst,قانون بروك,
,,,llama33_70b_inst,علم البلورسنجية,
,,,med42,علم البلورة بالأشعة (X-ray Crystallography),
,,,medgemma,حيود الأشعة السينية,
,,,meditron,البلورة.,
,,,mistral_7b,فيزياء وعلوم الأشعة,
,,,mistral_small,علم البلورات,correct
,,,silma,علم Bragg,
550,ما هو سبب ظهور طور الهضبة في كامن فعل العضلة القلبية؟,دخول شوارد الكالسيوم.,allam_7b_inst_prev,تأخر إعادة الاستقطاب,
,,,aya_expanse_8b,زيادة طول الفاصل بين الألياف العضلية.,
,,,claude,تدفق أيونات الكالسيوم البطيء إلى داخل الخلية عبر قنوات الكالسيوم من النوع L,
,,,deepseek,تدفق الكالسيوم البطيء إلى الداخل,
,,,falcon,زيادة النشاط العضلي,
,,,fanar,ية؟,
,,,gemini,تدفق الكالسيوم للداخل,
,,,gemma3_27b_it,دخول الكالسيوم,
,,,gpt52,دخول الكالسيوم عبر قنوات L,
,,,jais,نقص التروية المؤقت.,
,,,llama31_8b_inst,زيادة إنتاج كالسيوم,
,,,llama33_70b_inst,طور الاسترخاء,
,,,med42,إعادة cựcarization (إعادة极化) خلايا عضلة القلب.,
,,,medgemma,إعادة الاستقطاب المتأخر,
,,,meditron,نتيجة لتدفق الكالسيوم من خلال قنوات الكالسيوم المعتمدة على الجهد.,
,,,mistral_7b,تغير شكل القلب,
,,,mistral_small,انغلاق الصمامات الأبهري والثلاثي,
,,,silma,انخفاض ضغط الدم,
559,ما هو نوع الصداع غير النابض ثنائي الجانب الذي قد يرتبط بتشنج عضلات الرقبة؟,صداع التوتر,allam_7b_inst_prev,صداع التوتر,correct
,,,aya_expanse_8b,صداع التوتر العنقودي,
,,,claude,صداع التوتر,correct
,,,deepseek,صداع التوتر,correct
,,,falcon,صداع التوتر,correct
,,,fanar,صداع عضلي,
,,,gemini,صداع التوتر,correct
,,,gemma3_27b_it,صداع التوتر,correct
,,,gpt52,الصداع التوتري,
,,,jais,صداع التوتر العضلي.,
,,,llama31_8b_inst,صداع المخاطر,
,,,llama33_70b_inst,صداع紧عي,
,,,med42,صداع紧ي ثنائي الجانب (Tension-type headache),
,,,medgemma,صداع التوتر,correct
,,,meditron,صداع التوتر.,
,,,mistral_7b,صداع غير نابض ثنائي الجانب - الرقبة (Hernia non-communicating bilateral - Lumbar),
,,,mistral_small,صداع التوتر,correct
,,,silma,صداع عنيف,
566,ما هو الخمج الطفيلي الذي يمكن أن ينتقل من شخص لآخر؟,المرمية الدودية,allam_7b_inst_prev,الإجابة: القُرَادِيّة,
,,,aya_expanse_8b,العدوى الفطرية,
,,,claude,داء الأميبات (Amoebiasis),
,,,deepseek,الجرب,
,,,falcon,التوكسبازا,
,,,fanar,,
,,,gemini,الجرب,
,,,gemma3_27b_it,الجيارديا,
,,,gpt52,الجيارديا لامبليا,
,,,jais,الطفيليات المعوية.,
,,,llama31_8b_inst,التهاب السحايا الفيروسي,
,,,llama33_70b_inst,ديدان البطن,
,,,med42,Giardia lamblia,
,,,medgemma,الجرب,
,,,meditron,داء المثقبيات.,
,,,mistral_7b,إنفيكس حامل,
,,,mistral_small,داء الكلب,
,,,silma,خمج طفيلي,
575,ما هي أسباب حدوث فيض الدمع Epiphora؟,نقص في التصريف,allam_7b_inst_prev,انسداد القناة الدمعية,
,,,aya_expanse_8b,زيادة إفراز الدمع أو انسداد القنوات الدموية.,
,,,claude,انسداد القناة الدمعية الأنفية، فرط إفراز الدموع، شتر الجفن للخارج، شتر الجفن للداخل، التهاب كيس الدمع، تضيق النقطة الدمعية، وأسباب تهيجية كالتهاب الملتحمة والأجسام الأجنبية,
,,,deepseek,انسداد القناة الدمعية,
,,,falcon,انسداد قناتي الدمعي,
,,,fanar,one concise line.,
,,,gemini,انسداد القناة الدمعية، فرط إفراز الدموع، ارتخاء الجفن السفلي,
,,,gemma3_27b_it,انسداد القناة الدمعية,
,,,gpt52,انسداد أو تضيق القناة الدمعية الأنفية,
,,,jais,انسداد مجرى الدمع.,
,,,llama31_8b_inst,التهاب الجفن.,
,,,llama33_70b_inst,انسداد القناة الدمعية,
,,,med42,انسداد قناة الدمع أو ضعف وظيفة المثانة الدمعية,
,,,medgemma,انسداد القناة الدمعية,
,,,meditron,انسداد القناة الدمعية، أو انخفاض إفراز الدمع، أو زيادة إفراز الدمع.,
,,,mistral_7b,أسباب متعددة (Multiple causes),
,,,mistral_small,انسداد القنوات الدمعية,
,,,silma,انسداد قنوات الدمع,
592,ما هي الحالة التي تعاني منها مريضة عمرها 44 سنة تشكو من تعب عام وكانت قيمة البولة الدموية 140 ملغ/دل وقيمة الكرياتنين 6 ملغ/دل وحمض البول 4 ملغ/دل؟,اليوريميا,allam_7b_inst_prev,فشل كلوي,
,,,aya_expanse_8b,فشل كلوي مزمن,
,,,claude,Chronic renal failure,
,,,deepseek,فشل كلوي مزمن,
,,,falcon,فقر دم مزمن,
,,,fanar,فشل كلوي حاد,
,,,gemini,الفشل الكلوي الحاد,
,,,gemma3_27b_it,الفشل الكلوي,
,,,gpt52,قصور كلوي مزمن,
,,,jais,إجابة: مرض الكلى المزمن,
,,,llama31_8b_inst,حثل الكلى المزمنة.,
,,,llama33_70b_inst,فشل كلوي,
,,,med42,فشل كلوي حاد,
,,,medgemma,الفشل الكلوي المزمن,
,,,meditron,الفشل الكلوي.,
,,,mistral_7b,عمرية تعب وهيبة الكرياتين وحمض البول العالي,
,,,mistral_small,فشل كلوي حاد,
,,,silma,فشل كلوي,
604,كيف يتأثر الغاز كلما زاد وزنه الجزيئي؟,انخفض معدل الانتشار.,allam_7b_inst_prev,ينخفض الوَعْي,
,,,aya_expanse_8b,انخفاض قابلية الذوبان في الماء.,
,,,claude,يقل معدل انتشاره,
,,,deepseek,ينتشر ببطء,
,,,falcon,ينخفض معامل扩散ه,
,,,fanar,لم الإنتهائي,
,,,gemini,يزداد وزنه الجزيئي,
