id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,Reason ,Confidence 
1181,Y2,اي من الخلايا الآتية في الظهارة الشمية مسؤول عن تأمين بيئة مكروية لأداء الوظيفة الشمية :,Histology,Anatomy,olfactory neurons,supporting cells,Basal cells,كل ماسبق خطأ.,,,B,ABCD,,
1182,Y2,السائل المفرز حول الاهداب الشمية من غدد بومان الموجودة في الصفيحة المخصوصة للظهارة الشمية مسؤول عن :,Histology,Anatomy,ترطيب الهواء المستنشق.,السماح بوصول الروائح الجديدة,التقاط الاجسام الغريبة.,كل ما سبق صحيح.,,,B,ABCD,,
1183,Y2,نجد نموذج الكبيبة glomera للشعيرات الدموية في كل ما يلي عدا:,Histology and Systemic Anatomy,Anatomy,الوجه,وسادات الأصابع,سرير الظفر,الأذنين,,,A,ABCDE,,
1184,Y2,كل ما هو آت صحيح عن الجهاز البولي ما عدا:,Histology and Systemic Anatomy,Anatomy,الجزء الوظيفة الأساسي هو الأنبوب البولي,تبطن جميع قنواته وطرقه بالنسيج الظهاري الانتقالي,تعتبر الحويضة من الطرق الناقلة للبول,لا تقوم الكلية بإنتاج البول,,,AorB,ABCDE,,
1185,Y2,كل ما هو آت صحيح عن محفظة بومان ما عدا:,Histology and Systemic Anatomy,Anatomy,تتداخل الاستطالات القدمية مع بعضها لتشكل شقوق الرشح,تتصل المسافة المحفظية بجوفها مع لمعة الأنبوب القريب,تعطي الوريقة الحشوية استطالات ترافق تفرعات الأوعية الدموية,ترسل الخلايا القدمية استطالات سيتوبلازمية باتجاه المسافة المحفظية,,,D,ABCDE,,
1186,Y2,كل ما هو آت صحيح في المثانة ما عدا:,Histology and Systemic Anatomy,Anatomy,يبطن القميص المخاطي بطبقة انتقالية,يمكن أن تأخذ الخلايا الظهارية السطحية الشكل الكمثري,تتوزع العضلات في ثلاثة طبقات غير واضحة,ثخانة القميص المخاطي ثابتة لا تتبدل,,,D,ABCDE,,
1187,Y2,كل ما يلي من الملحقات الحلدية ما عدا:,Histology and Systemic Anatomy,Anatomy,الغدد المخاطية,الأشعار,الغدد المصلية العرقية,الغدد الدهنية,,,A,ABCDE,,
1188,Y2,يتكون الجهاز الوعائي الدموي مما يلي ما عدا:,Histology and Systemic Anatomy,Anatomy,الشرايين,الأوردة,الشعيرات اللمفية,القلب,,,C,ABCDE,,
1189,Y2,تملك الطبقة الداخلية من الوعاء الدموي ما يلي عدا:,Histology and Systemic Anatomy,Anatomy,النسيج الضام تحت البطاني,البطانة الوعائية,الصفيحة المرنة الداخلية,الصفيحة المرنة الخارجية,,,D,ABCDE,,
1190,Y2,كل ما يلي من تفرعات الأبهر الأمامية ما عدا:,Anatomy,Anatomy,الجذع الزلاقي.,الشريان المساريقي العلوي.,الشريان المساريقي السفلي.,الشريان الحجابي السفلي,,,D,ABCDE,,
1191,Y2,تضم ناصيات الفقار من عضلات الظهر العميقة التالي ما عدا: السؤال للاطلاع,Anatomy,Anatomy,الطولي الرأسية.,الطولى العنقية.,المديدة الصدرية.,الحرقفية الضلعية.,الشوكية الرأسية.,,C,ABCDE,,
1192,Y2,تحدث التغيرات التالية في الصدر أثناء الشهيق ما عدا:,Anatomy,Anatomy,يسحب الهواء إلى الشجرة القصبية.,يصعد جذرا الرئتين.,يحدث ضغط سلبي على السطح الخارجي للرئتين.,تنخفض الحواف السفلية للرئتين.,تتمدد الرئتين.,,B,ABCDE,,
1193,Y2,تتوضع مباشرة خلف الحيز الوربي الرابع أيمن القص,Anatomy,Anatomy,الوريد الأجوف العلوي,الوريد العضدي الرأسي الأيمن,الوريد العضدي الرأسي الايسر,الشريان العضدي الرأسي,الأذينة اليمني RT atrium,,E,ABCDE,,
1194,Y2,تتواجد البنى التالية بباطن البطين الأيمن ما عدا:,Anatomy,Anatomy,الحجاب بين البطينين,الترابيق اللحمية,دسام ثنائي الشرف,العضلة الحليمية الامامية,الشريط المنظم (العارضة الحاجزية),,C,ABCDE,,
1195,Y2,تحدث التغيرات التالية في الصدر أثناء الشهيق ما عدا:,Anatomy,Anatomy,يسحب الهواء الى الشجرة القصبية,يصعد جذرا الرئتين,يحدث ضغط سلبي على السطح الخارجي للرئتين,تنخفض الحواف السفلية للرئتين الى الأسفل,تتمدد الرئتين,,B,ABCDE,,
1196,Y2,يشتق العصب الحشوي الكبير من الشدفات الصدرية التالية ما عدا:,Anatomy,Anatomy,T5,T7,T8,T9,T10,,E,ABCDE,,
1197,Y2,يستلم الوريد العضدي الرأسي دماً وريداً مباشرة من التالي ما عدا:,Anatomy,Anatomy,الوريد تحت الترقوة,الوريد الوداجي الباطن,الوريد الوداجي الظاهر,الوريد الدرقي السفلي,الوريد الصدري الباطن,,C,ABCDE,,
1198,Y2,تضم ناصيات الفقار من عضلات الظهر العميقة التالي ما عدا: السؤال للاطلاع,Anatomy,Anatomy,الطولي الرأسية,الطولي العنقية,نصف الشوكية الرأسية,الشوكية الرأسية,الحرقفية الضلعية العنقية,,E,ABCDE,,
1199,Y4,كل ما يلي يعتبر من مخاطر التخدير ما عدا,Anesthesia,Anesthesia,الغثيان و الاقياء,اعتلال الأعصاب المركزية,اضطرابات النظم القلبية,الانخماص الرئوي,,,D,ABCDE,,
1200,Y4,الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد هو,Anesthesia,Anesthesia,بروبوفول,ثيوبنتال,ميثو كيزيتال,دروبيريدول,كيتامين,,E,ABCDE,,
1201,Y3,كل ما يعتبر من التأثيرات المحيطية للمورفين ما عدا:,Anesthesia,Anesthesia,A. ينقص التقلصات التمعجية ويزيد التقلصات غير التمعجية,B. لحرر الهيستامين,C. لا يعبر المشيمة,D. يسبأ الادمان والاعتياد,E. يسبأ لشنج قصبي,,C,ABCDE,,
1202,Y4,تستعمل البنزوديابينات في كل ما يلي عدا,Anesthesia,Anesthesia,احداث التهدئة وازالة القلق قبل العمل الجراحي,مباشرة التخدير العام,ضبط الاختلاجات الصرعية,تخفيف التأثيرات المقلدة للذهان للكيتامين,معاكسة التثبيط التنفسي المحدث بالباربيتوات,,E,ABCDE,,
1203,Y4,فيما يخص المرخيات النازعة للاستقطاب كل ما يلي صح عدا,Anesthesia,Anesthesia,لا يوجد أي دواء نوعي لمعاكسة تأثيرها,نشبه ببنيتها الأستيل كولين,تعمل كمضادات تنافسية لمستقبلات الأستيل كولين,تؤدي لحدوث التقلصات الحزمية,تستقلب بواسطة خميرة استيل كولين استيراز الكاذبة 25. الألياف العصبية الناقلة لحس الألم هي,,E,ABCDE,,
1204,Y4,تتميز الفينوليازينات بما يلي عدا,Anesthesia,Anesthesia,مضادات اقياء محيطية,للتهدئة,حالة القلق,ميزات معاكسة للكولين,تقوية فعل المسكنات المورفينية,,A,ABCDE,,
1205,Y4,يتميز المخدر التالي بالمباشرة والصحو السريعين,Anesthesia,Anesthesia,النايتروس اوكسايد,الهالوثان,الايزوفلوران,السيفوفلوران,الديسفلوران,,E,ABCDE,,
1206,Y3,تبدي البنزوديازبينات العديد من الميزات المفيدة للتحضير الدوائي ما عدا:,Anesthesia,Anesthesia,A. حالة قلق,B. تحدث نساوة,C. بالجرعات المنخفضة تحرض التخدير,D. تحدث ارخاء,E. تبدي ميزات مضادة الاختلاج,,C,ABCDE,,
1207,Y3,تستعمل البنزوديابينات في كل ما يلي عدا:,Anesthesia,Anesthesia,A. احداث التهدئة وازالة القلق قبل العمل الجراحي,B. مباشرة التخدير العام,C. ضبط الاختلاجات الصرعية,D. معاكسة التثبيط التنفسي المحدث بالباربيتوات,E. تخفيف التأثيرات المقلدة للذهان للكيتامين,,D,ABCDE,,
1208,Y4,كل ما يتعلق بالمخدرات الموضعية صح عدا,Anesthesia,Anesthesia,تسبب إضافة النورايبيفرين لطاول مدة التأثير,يزيد القصور الكبدي خطورة الانسمام الجهازي بالليدوكائين,تعتبر الأعراض العصبية المظاهر الباكرة الأولي للانسمام بالمخدرات الموضعية,يمكن استخدام الليدوكائين بتراكيز منخفضة وريدياً لعلاج بعض بالمخدارت الموضعية,تستقلب المخدرات الموضعية الاميدية بواسطة خميرة كولين الزائفة,,E,ABCDE,,
1209,Y4,كل ما يلي صحيح بالنسبة للفنتائيل ما عدا:,Anesthesia,Anesthesia,بداية تأثيره سريعة 2-1 دقيقة وتتراوح فترة تأثيره 30 دقيقة,أن التهدئة الناجمة عنه ضئيلة مقارنة مع المورفين,قد تحدث الجرعات العالية منه صلابة في جدار الصدر,تأثيراته على الجهاز القلبي الوعائي كبيرة كبيرة يحدث انخفاض شديد في الضغط الشرياني,,,D,ABCDE,,
1210,Y4,ينقص كل من المحضرات التالية معدل الستقالب الدماغي والتوتر داخل القحف:,Anesthesia,Anesthesia,االيثوميدات,الكيتامين,الثيوبنتال,البروبوفول,دروبيريدول,,B,ABCDE,,
1211,Y4,الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد:,Anesthesia,Anesthesia,بروبوفول,ثيوبنتال,كيتامين,ميثوهيكزيتال,دروبيريدول,,C,ABCDE,,
1212,Y4,بما يتعلق بالمرخيات غير المزيلة للاستقطاب اجابة واحدة خاطئة,Anesthesia,Anesthesia,تتطاول فترة التأثير في حالة اضطراب خميرة كولين استيراز الورلثي,تعتمد فترة تأثيرها علي الجرعة المستخدمة,تحتل مستقبلات الأستيل كولين في اللوحة المحركة,تنقص النخدرات الانشاقية من حاجة المريض لها,يسبب انخفاض درجة الحرارة تطاول الحصار الناجم عنها,,A,ABCDE,,
1213,Y4,المرخي العضلي الأمثل لتسهيل تنبيب مريض ذو خطورة عالية الاستنشاق هو:,Anesthesia,Anesthesia,اتراكوريوم,سيساتراكوريوم,بانكورونيوم,بيبكورونيوم,السكسونيل كولين,,E,ABCDE,,
1214,Y4,يتميز الأميدارون بما يلي,Anesthesia,Anesthesia,ينقص مدة تأثير الجهد الكهربائي,يطيل فترة QT,تأثير ضعيف لتقليل انقباض عضلة القلب,قد يؤدي إلي انخفاض ضغط الدم,يعطي 300 ملغ بالوريد,,A,ABCDE,,
1215,Y4,اختر الإجابة الصحيحة :,Anesthesia,Anesthesia,تفيد الستيروئيدات القشرية حقنا خاللها في تدبير الألم المزمن,يمكن معاكسة التأثيرات المسكنة للوخز بالإبر بإعطاء النالوكسون,قد يؤدي تطبيق التنبيه الكهربائي على الجملة العصبية لتسكين الألم الحاد والمزمن,يفيد التبريد من أجل تدبير الألم المرافق مع الذات الحادة خاصة مع وجود الوذمة ر,كل ما سبق صحيح,كل ما سبق خطأ,E,ABCDEF,,
1216,Y4,فيما يخص مراحل التخدير العام كل ما يلي صحيح عدا:,Anesthesia,Anesthesia,تترافق المرحلة الأولى مع تقبض الحدقة,تترافق المرحلة الثانية مع تبيه مركز اللقياء,تترافق مرحلة الشلل البصلي مع تثبيط شديد للقلب والتنفس,تبدأ المرحلة الجراحية من فقدان المنعكس الجفني حتى شلل العضلة الحجابية,تترافق المرحلة الجراحية مع زوال المنعكسات,,A,ABCDE,,
1217,Y3,من مضادات استطباب الحصار المحوري العصبي:,Anesthesia,Anesthesia,A. رفض المريض,B. الاعتلالات النزفية,C. نقص الحجم الشديد,D. الانتان موضع إجراء الحصار,E. كل ما سبق صح,,E,ABCDE,,
1218,Y4,يتميز الببتدين بما يلي عدا,Anesthesia,Anesthesia,مسكن مورفيني صدمي,يسببت تحرر الهيستامين بشكل أقل من المورفين,أقل سمية من المورفين,يبدي خواص مشابهة للكولين,يؤثر علي منعكس السعال قسم الدكتور بنود,,E,ABCDE,,
1219,Y4,المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق هو,Anesthesia,Anesthesia,السوكسنيل كولين,ألراكوريوم,سيسأتراكوريوم,بانكورونيوم,البيكورونيوم,,A,ABCDE,,
1220,Y4,بما يخص محضر البروبوفول:,Anesthesia,Anesthesia,يزيد معدل الجريان الدموي الدماغي,شديد المحال في المحاليل المائية,يسبب تحرر الكاتيكول أمين,يحدث نوما أطول من ذاك الناجم عن الثيوبنتال,يبدي قدرة مسكنة ضعيفة,,E,ABCDE,,
1221,Y3,بالنسبة لمثبطات خميرة سيكلواوكسيجيناز:,Anesthesia,Anesthesia,A. تثبط عملية تركيب البروستاغلاندين,B. المحضرات التي تثبط بشكل انتخابي خميرة co-2 ذات سمية أقل للجهاز الهضمي,C. تمتص بشكل جيد عبر الجهاز الهضمي,D. يجب تعديل جرعاتها عند المصايين باضطراب كبدي,E. معظم مركباتها ضعيفة الارتباط بالبروتينات,,E,ABCDE,,
1222,Y3,إن الترياق المناسب للتسمم بالمورفين هو:,Anesthesia,Anesthesia,A. النالوكسون,B. N استيل سيستين,C. فلومازينيل,D. الفحم الفعال,E. ميركابتوبيورين,,A,ABCDE,,
1223,Y4,كل ما يتعلق بالأفيونات صح عدا,Anesthesia,Anesthesia,كلما زادت شدة الاوبان بالدسم تطاولت فترة التأثير,لا تؤثر علي قلوصية العضلة القلبية,يمكن حقنها ضمن الحيز فوق الجافية,تزداد خطورة التثبيط التنفسي عند مرضي تشمع الكبد,مسببة للغثيان والاقياء,,A,ABCDE,,
1224,Y4,كل ما يلي يعتبر من الأدوية المستخدمة للتحضير الدوائي ما عدا,Anesthesia,Anesthesia,حاصرات الكالسيوم,الباربيتورات,البنزوديازيبينات,الفينوتيازينات,المسكنات المورفينية,,A,ABCDE,,
1225,Y3,يتميز الألم المزمن بما يلي عدا:,Anesthesia,Anesthesia,A. يستمر لفترة لزيد عن ستة أشهر,B. الألياف A هي المسؤولية عن عملية نقل هذا الألم,C. الاستجابة الصماوية الغدية ضعيفة,D. يترافق مع اضطراب النوم والمزاج,E. قد ينجم عن الاعتلال العصبي,,B,ABCDE,,
1226,Y4,يجأ لجنأ المخدر الانشاقي التالي لعملية لنحراف وترة سيتم فيها حقن الادرينالين للمريض,Anesthesia,Anesthesia,الايزوفلوران,النايتروس اوكسايد,الهلوثان,السيفوفلوران,الديسفلوران,,C,ABCDE,,
1227,Y3,مريض يعاني من جرح نافذ للعين يجب تجنب:,Anesthesia,Anesthesia,A. البروبوفول,B. الثيوبنتال,C. الكيتامين,D. الهالوثان,E. الميدازولام,,C,ABCDE,,
1228,Y3,كل ما يتعلق بتدبير الألم المزمن صحيح عدا:,Anesthesia,Anesthesia,A. يلجأ المعالج النفسي لتقنية تحويل الادراك لتعليم التكيف مع الألم,B. لا يفيد حصار الضفائر العصبية في هذا النوع من الألم,C. يفيد التبريد لتدبير الألم المترافق مع الوذمة,D. يحث الوخز بالابر علي تحرير المورفينات داخلية المنشأ,E. يفيد التنبيه الكهربائي للنخاع الشوكي,,B,ABCDE,,
1229,Y3,تنخفض قيمة مالك في الحالات التاية عدا:,Anesthesia,Anesthesia,A. ارتفاع التوتر الشرياني,B. الإنسمام الكحولي الحاد,C. فقر الدم,D. التقدم بالعمر,E. الحمل,,A,ABCDE,,
1230,Y3,اختر الاجابة الصحيحة:,Anesthesia,Anesthesia,A. ان الفلومازنيل و مضاد البنزوديادبينات والباربيتوريات,B. ان الالروبين و مضاد للمبيدات الفسفورية العضوية,C. ان النالوكسون و مضاد المورفين,D. كل ما سبق صح,E. كل ما سبق خطأ,,B,ABCDE,,
1231,Y4,كل ما يعتبر من التأثيرات المحيطية للمورفين ما عدا,Anesthesia,Anesthesia,ينقص التقلصات التمعجية ويزيد التقلصات غير التمعجية,لحرر الهيستامين,لا يعبر المشيمة,يسبأ الادمان والاعتياد,يسبأ لشنج قصبي,,C,ABCDE,,
1232,Y4,فيما يتعلق بالتوزيع الدوائي للمخدر الوريدي:,Anesthesia,Anesthesia,في مرحلة التوزيع الأولي تمتلئ الأعضاء غزيرة التروية بالدواء حد الإشباع,يزداد تركيز الدواء الحر إذا نقصت كمية البروتينات الرابطة,الصحو من تأثير الثيوبنتال ال ينجم عن استقالة او اطراحه بل عن عود توزيعه من الدماغ إلى العضلات,يعتمد توزيع المخدر الوريدي على درجة ذوبانه بالدسم,كل ما سبق صحيح,,E,ABCDE,,
1233,Y4,من أشكال التخدير الناحي كل ما يلي عدا,Anesthesia,Anesthesia,التخدير داخل الجافية,التخدير فوق الجافية,التخدير النا ي الوريدي,التخدير الايلي,التخدير الالانفصالي,,E,ABCDE,,
1234,Y4,أكثر المخدرات الانشقاقية التي تحدث تأثيرا مسكنا :,Anesthesia,Anesthesia,سيفوفلوران,ايزوفلوران,الهالوثان,ديسفلوران,النايتروس أوكسيد,,E,ABCDE,,
1235,Y4,قد يؤدي الألم الحاد الي مايلي ماعدا,Anesthesia,Anesthesia,يحرض الداء القلبي,يؤدي لقرحة الشدة,يزيد معدل إفراز الأنسولين,يضعف فعالية السعال,ازدياد قابلية الخثار الدموي أسئلة الدكتورة رائعة,,C,ABCDE,,
1236,Y4,كل مايلي يخفض التوتر داخل القحف أثناء التخدير عدا,Anesthesia,Anesthesia,الباربيتورات,الكيتامين,البروبوفول,ايثوميدات,دروبيريدول,,B,ABCDE,,
1237,Y4,كل ما يلي صحيح عن الديازيبام عدا:,Anesthesia,Anesthesia,بنزوديازيبين منحل بالدسم وغير منحل بالماء,يجب إعطاؤه حقنا عضليا و فمويا,يمكن اعطاؤه بالطريق المستقيم,ان نصف العمر الطراحي طويل نسبيا,يستخدم في الحالات الصرعية,,B,ABCDE,,
1238,Y4,يستخدم النظام المعدل للتخدير المبكر للتعرف علي المريض ذو الحالة الحرجة ويعتمد علي,Anesthesia,Anesthesia,النبض,الضغط الانبساطي,معدل التنفس,درجة الحرارة,درجة الوعي,,B,ABCDE,,
1239,Y4,ما يلي صحيح بالنسبة لمضادات المستقبلات الكولولينيرجية ما عدا,Anesthesia,Anesthesia,الأتروبين والهيوسين رباعية تعبر الحاجز الوعائي,الغليكوبيرونيوم أمين ثلاثي لا يعبر الحاجز الوعائي الدماغي,التأثيرات المضادة للإلعاب للهيوسين أقوي من الأتروبين,لا يبدي الهيوسين تأثيرات مهدئة ومحدثة للنساوة,الغليكوبيرونيوم يحدث تغير في النبض أقل من الأتروبين,,A+B,ABCDE,,
1240,Y3,بالنسبة للأفيونات كل ما يلي صح ما عدا :,Anesthesia,Anesthesia,A. يمكن حقنها عضلياً ضمن القراب أو ضمن الحيز فوق الجافية,B. وجد الفنتائيل مضاد أفيوني,C. تؤدي للاعتماد الفيزيائي بعد الاعطاء المتكرر,D. من الشائع احداتها للغثيان والاقياء,E. يزيد احتمال حدوث تثبيط تنفسي مع التقدم بالعمر,,B,ABCDE,,
1241,Y4,في فرط الحرارة الخبيث كل ما يلي صح عدا,Anesthesia,Anesthesia,يعد الكيتامين من العوامل المسببة,الداء النوعي هو Dantroline,العلامة الأولي المنبئة لحدوثه تقلص عضلات الفك السفلي,ترتفع درجة حرارة المريض تدريجياً,يتم التشخيص بخزعة عضلية وتعريضها للعامل المحرض,,A,ABCDE,,
1242,Y4,كل ما يلي من المشاكل المصادفة تخدير مريض بدين ما عدا:,Anesthesia,Anesthesia,قد يسبب صعوبة في التنبيب,هم أكثر ميلا للإصابة بنقص التروية الإكليلية,يتعرضون لجرعات فائضة من المرخيات حيث يجب التعامل معهم على أساس كتلة العضلات وليس كتلة العضلات وليس الوزن الكلي,الصحو لديهم سريع بسبب توزع المخدرات في طبقات الدسم الكبيرة,,,D,ABCDE,,
1243,Y4,كل ما يلي صحيح بالنسبة للفلومازينيل ما عدا,Anesthesia,Anesthesia,عند استخدامه بجرعات عالية يبدي بعض الميزات المقلدة للبنزوديازبينات,يعاكس التأثيرات المركزية للبنزوديازبينات,يستخدم في الات التسمم و حوادث الانتحار بالفينوليازينات,المعاكسة لبدأ خلال دقيقة وا حدة فقط من الحقن,فترة التأثير لعتمد علي الجرعة المعطاة,,C,ABCDE,,
1244,Y4,يفضل استعمال المرخي العضلي التالي لمريض القصور الكلوي,Anesthesia,Anesthesia,بانكورانيوم,أتراكوريوم,بيبكورونيوم,ميفاكوريوم,دوكساكوريوم,,B,ABCDE,,
1245,Y3,يتميز الميدازولام بما يلي ما عدا:,Anesthesia,Anesthesia,A. عبارة عن بنزوديازبين منحل بالدسم,B. يمكن اعطاؤه بالوريد أو العضل,C. نصف عمره الاطرلحي أقل من الديازيبام,D. ذو بداية تأثير أسرع من الديازيبام,E. يمكن اعطاؤه فمويا أو عن طريق المستقيم,,A,ABCDE,,
1246,Y4,تشمل الصفات الفيزيائية الأيزوفلورين ما يلي:,Anesthesia,Anesthesia,قابل لالشتعال بوجود االوكسجين,MAC 0.75,لونه األحمر,غير ثابت الكلس الصودي,ورائحته اللاذعة,,E,ABCDE,,
1247,Y3,الميدازولام:,Anesthesia,Anesthesia,A. مفيد في ضبط الاختلاجات الصرعية,B. ينافس البربوفول في سرعة تنويم المريض,C. قليل الانحلال بالدسم,D. محرض للبورفيريا,E. يسبب حالة من التخدير الإنفصالي,,A,ABCDE,,
1248,Y4,كل ما يلي يعتبر من أهداف التحضير الدوائي ما عدا,Anesthesia,Anesthesia,تهدئة المريض وازالة قلقه ومخاوفه,رفع الاستجابات الودية الكظرية,انقاص المفرزات,انقاص احتمال حدوث غثيان والاقياء,تخفيف ولجم المنعكسات المبهمية قسم الدكتورة رائعة,,B,ABCDE,,
1249,Y4,فيما يتعلق بالبدانة صحيح ما عدا:,Anesthesia,Anesthesia,زيادة %20 عن الوزن المثالي,تترافق مع أمراض نقص التروية الإكليلية,معرضين أكثر للقلس والاستنشاق أثناء بدء التخدير,مباشرة التخدير متعبة وأكثر صعوبة,تحسب جرعة الأدوية المنحلة بالماء على أساس الوزن المثالي,,E,ABCDE,,
1250,Y4,تتميز المرحلة الأولي من التخدير العام بكل ما يلي عدا,Anesthesia,Anesthesia,فقدان الااكرة,زوال حس الألم,ثبات مقلة العين للأمام,لنتهي بفقدان الوعي,تبقي جميع المنعكسات طبيعية,,C,ABCDE,,
1251,Y4,في علاج الألم المزمن,Anesthesia,Anesthesia,تحدث مضادات الاكتئاب تأثيراً مسكناً بجرعة أكبر من تلك اللازمة لمعاكسة الاكتئاب,الفنتوئين في تدبير ألم اعتلال العصبي السكري,قد تؤدي مضادات الاختلاج لتأثيرات جانبية خارج هرمية,لا يفيد حقن الستيروئيدات ضمن الحيز فوق الجافية,كل ماسبق صح,,C,ABCDE,,
1252,Y4,مريض مصاب بالتهاب كبد يجأ استبعاد المخدر الانشاقي التالي أثناء التخدير,Anesthesia,Anesthesia,النيتروس اوكسايد,الهالوثان,الديسفلوران,الايزوفلوران,السيفوفلوران,,B,ABCDE,,
1253,Y4,مريض سيخضع لعملية لرقيع غشاء الطبل يجأ تجنب الانشاقي التالي,Anesthesia,Anesthesia,النيتروس أوكسايد,الهالوثان,الديسفلوران,الايزوفلوران,السيفوفلوران,,A,ABCDE,,
1254,Y4,كل ما يلي صحيح بالنسبة لخطورة التخدير للمرضي الذين في سوابقهم احتشاء عضلة قلبية ماعدا,Anesthesia,Anesthesia,حدوث احتشاء جديد بنسبة 40% خلال الأشهر الثلاثة الأولي التالية للاحتشاء,حدوث احتشاء جديد بنسبة 15% بين الشهرين 3-6,حدوث احتشاء بنسبة 5% بعد 6 أشهر,تبلغ نسبة الوفيات الناجمة عن الاحتشاء التالي للعمل الجراحي 40-60%,تقع هذه الحوادث معظمها في الساعات الأولي بعد العمل الجراحي,,E,ABCDE,,
1255,Y4,مريض سيخضع جراحي اسعافي ويعاني من قصور كلوي يفضل استعمال المرخي العضلي التالي,Anesthesia,Anesthesia,بانكورانيوم,أتراكوريوم,بيبيكورونيوم,ميفاكوريوم,دوكساكوريوم,,B,ABCDE,,
1256,Y4,أثناء تخدير مريض يعاني من نقص تروية اكليلة يجب استبعاد,Anesthesia,Anesthesia,فنتانيل,الإيزوفلوران,الديسفلوران,الريميفنتاليل,السيسألراكوريوم,,B,ABCDE,,
1257,Y4,كل ما يلي من المشاكل المتوقعة حدوثها عند البدينين ول العمل الجراحي ما عدا,Anesthesia,Anesthesia,صعوبة نقلا المريض ولحريكه,صعوبة مراقبة ضغطه,احتمال لعرض المريض للاستنشاق,صعوبة العمليات علي البطن,التنبيب عند هؤلاء المرضي سهل جداً رغم البدانة,,E,ABCDE,,
1258,Y4,كل ما يلي صحيح بالنسبة لخطورة التخدير للمرضي الذين في سوابقهم احتشاء عضلة قلبية ما عدا,Anesthesia,Anesthesia,حدوث احتشاء جديد بنسبة 40% خلال الأشهر الثلاثة الأولي التالية للاحتشاء,حدوث احتشاء جديد بنسبة 15% بين الشهرين 3-6,حدوث احتشاء جديد بنسبة 5% بعد 6 أشهر,تبلغ نسبة الوفيات الناجمة عن الاحتشاء التاي للعمل الجراحي 40-60%,تقع هذة الحوداث معظمها في الساعات الأولي بعد العمل الجراحي,,E,ABCDE,,
1259,Y4,عندما يكون المريض عل جهاز التنفس ولديه نقص الضغط غاز الاوكسجين في الدم الشرياني كل الإجراءات التالية صحيحة ما عدا,Anesthesia,Anesthesia,رفع نسبة الأوكسجين,زيادة PEEP,زيادة التهدئة,إعطاء الإرخاء,كل ما سبق صح قسم الدكتورة رائعة,,E,ABCDE,,
1260,Y4,سوف يخضع مريض مصاب بالتهاب الكبد الى عملية استئصال المرارة يجب تجنب المخدر الشاقي التالي:,Anesthesia,Anesthesia,سيفوفلوران,الهالوثان,ايزوفلوران,الديسفلوران,النيتروساوكسايد,,B,ABCDE,,
1261,Y4,كل ما يلي صحيح من تأثيرات الضغط الإيجابي في نهاية الزفير PEEP ما عدا:,Anesthesia,Anesthesia,يحسن اكسجة الشريانية,الريح الصدرية من اختلاطات استعماله,يؤدي الى هبوط الضغط الشرياني,يرفع التوتر داخل القحف,الانخماص الرئوي من اختلاطات استعماله,,E,ABCDE,,
1262,Y4,كل ما يلي من عالمات على التخطيط الكهربائي يدل على اضطراب رئوي ما عدا:,Anesthesia,Anesthesia,نقص الفولتاج ونقص تطور الموجة R,موجة T أعلى من 2.5,انحراف المحور نحو اليمين,ضخامة بطين أيمن,حصار غصن أيمن,,B,ABCDE,,
1263,Y4,كل مما يلي يؤدي الى تطاول الحصار العصبي العضلي المحدث بالمرخيات غير المزيلة لالستقطاب:,Anesthesia,Anesthesia,انخفاض درجة الحرارة,الحماض التنفسي,نقص الكالسيوم,المشاركة مع المخدرات الانشاقية,انخفاض تركيز خميرة الكولين استيراز,,E,ABCDE,,
1264,Y4,تبلغ تراكيز الباربيتورات القلبية والدماغية مستويات أعلى )عند إعطاء نفس الجرعة مقارنة مع الحالات الطبيعية( في الحالات التاليةما عدا:,Anesthesia,Anesthesia,حالة صدمة نقص الحجم,تشمع الكبد,الحماض,الأمراض التنفسية المزمنة,نقص ألبومين المصل,,D,ABCDE,,
1265,Y4,كل ما يلي صحيح ما عدا: كل المخدرات الانشاقية التالية تحفظ بشكل سائل طيار بالضغط الجوي النظامي:,Anesthesia,Anesthesia,هالوثان,نيتروس أوكسيد,ايزوفلوران,سيفوفلوران,ديسفلوران,,B,ABCDE,,
1266,Y4,كل ما يلي من المشاكل المتوقعة حدوثها عند البدينين حول العمل الجراحي ما عدا:,Anesthesia,Anesthesia,التنبيب عند هؤلاء المرضى سهل جدا رغم,صعوبة مراقبة ضغطه,احتمال تعرض المريض لاستنشاق البدانة,صعوبة نقل المريض وتحريكه,صعوبة العمل الجراحي خاصة على البطن,,A,ABCDE,,
1267,Y4,هناك العديد من العوامل المؤثرة على الحصار العصبي العضلي المحدث بالمرخيات غير النازعة لاستقطاب ما عدا:,Anesthesia,Anesthesia,السن,الاضطرابات الشاردية,سرعة الحقن,درجة الحرارة,الأعراض المرافقة,,C,ABCDE,,
