,﻿id,level,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,question_old,answer_text,question
751,752,Y1,Anatomy,Anatomy,الاضلاع الثانية حتى السابعة,الاضلاع السبعة الاولى,الاضلاع الثالثة حتى السابعة,الاضلاع الستة الاولى,,,A,ABCD,. يتوضع العظم الكتفي على الجدار الخلفي العلوي للصدر بمحاذاة الاضلاع,الاضلاع الثانية حتى السابعة,أين يتوضع العظم الكتفي؟
752,753,Y1,Anatomy,Anatomy,اللب,الحزمية,الشبكية,الكبيبية,,,A,ABCD,المنطقة الأعمق في الغدة الكظرية :,اللب,ما هي المنطقة الأعمق في الغدة الكظرية؟
755,756,Y1,Anatomy,Anatomy,النواة السوداء.,المنقار.,المحفظة الداخلية.,النواة البينية.,,,C,ABCD,يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى:,المحفظة الداخلية.,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟
759,760,Y1,Anatomy,Anatomy,الجيب الوتدي,الجيب الفكي,الجيب الغربالي,الجيب الجبهي,,,A,ABCD,-ينفتح على القرين الانفي العلوي :,الجيب الوتدي,ما الذي ينفتح على القرين الأنفي العلوي؟
760,761,Y1,Anatomy,Anatomy,ذات الرأسين العضدية,الدالية,الغرابية العضدية,المدورة الصغيرة,,,B,ABCD,- يمكن إجراء الحقن العضلي في القسم العلوي من :,الدالية,أين يمكن إجراء الحقن العضلي في القسم العلوي؟
762,763,Y1,Anatomy,Anatomy,الانسي,الوحشي,الخلفي,لا شيء مما يلي,,,B,ABCD,تتوضع الاحدوبة الدالية في العضد على السطح:,الوحشي,أين تتوضع الاحدوبة الدالية في العضد؟
767,768,Y1,Anatomy,Anatomy,الفكي,الجبهي,الغربالي,الوتدي,,,A,ABCD,أكبر الجيوب جانب الأنف:,الفكي,ما هو أكبر الجيوب جانب الأنف؟
774,775,Y1,Anatomy,Anatomy,11,7,12,9,,,C,ABCD,المحرك لعضلات اللسان :,12,ما هو العصب المحرك لعضلات اللسان؟
776,777,Y1,Anatomy,Anatomy,حفرة ذات البطنين,حفرة الغدة تحت اللسان,حفرة الغدة تحت الفك السفلي,لا شيء مما سبق,,,C,ABCD,يتوضع تحت الخط الضرسي اللامي :,حفرة الغدة تحت الفك السفلي,ما الذي يتوضع تحت الخط الضرسي اللامي؟
790,791,Y1,Anatomy,Anatomy,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي,لا شيء مما سبق,,,C,ABCD,الطبقة المحيطة بالقلب والمرتبط به:,التامور المصلي الحشوي,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟
792,793,Y1,Anatomy,Anatomy,الشريان الوجهي,الشريان اللساني,الشريان الفكي,الشريان العيني,,,A,ABCD,ينشأ الشريان الزاوي من :,الشريان الوجهي,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟
795,796,Y1,Anatomy,Anatomy,الوريد الظنبوبي الامامي والوريد الظنبوبي الخلفي,الوريد الظنبوبي الامامي والوريد الشوي,الوريد الحرقفي الداخلي والخارجي,الوريد الصافن الكبير والصغير,,,A,ABCD,. يتشكل الوريد المأبضي من اتحاد,الوريد الظنبوبي الامامي والوريد الظنبوبي الخلفي,ما هو تشكل الوريد المأبضي؟
798,799,Y1,Anatomy,Anatomy,الكبيبية,الحزمية,الشبكية,اللب,,,C,ABCD,المنطقة الأعمق في قشرالكظر :,الشبكية,ما هي المنطقة الأعمق في قشر الكظر؟
801,802,Y1,Anatomy,Anatomy,فص الجزيرة,الفص الجبهي,الفص الجداري,الفص القذالي,,,A,ABCD,. يقع في عمق التلم الوحشي,فص الجزيرة,أين يقع التلم الوحشي؟
802,803,Y1,Anatomy,Anatomy,الوريد الفرد,الوريد نصف الفرد,الأجوف السفلي,الأجوف العلوي,,,C,ABCD,يصب الوريد الكلوي في,الأجوف السفلي,أين يصب الوريد الكلوي؟
807,808,Y2,Anatomy,Anatomy,وحشي اخدود ذات الرأسين.,أنسي أخدود ذات الرأسين.,قاع أخدود ذات الرأسين.,الناتئ الغرابي.,حديبة العضد الكبرى.,,e,ABCDE,ترتكز العضلة المدورة الصغيرة على :,حديبة العضد الكبرى.,أين ترتكز العضلة المدورة الصغيرة؟
810,811,Y1,Anatomy,Anatomy,الأنفي,الفموي,الحنجري,لا شيء مما سبق,,,C,ABCD,الردب الكمثري يتبع البلعوم:,الحنجري,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟
814,815,Y1,Anatomy,Anatomy,12 عصبًا,12 شفعًا,31 عصبًا,31 شفعًا,,,B,ABCD,عدد الأعصاب القحفية:,12 شفعًا,كم عدد الأعصاب القحفية؟
815,816,Y1,Anatomy,Anatomy,الجسر,البصلة,الدماغ المتوسط,المخيخ,,,B,ABCD,يتوضع نواة العصب العاشر في:,البصلة,أين تتوضع نواة العصب العاشر؟
816,817,Y1,Anatomy,Anatomy,غدة التيموس,قوس الأبهر,المري,الجذع العضدي الرأسي,,,C,ABCD,العنصر الذي يجاور الرغامي من الخلف هو :,المري,ما هو العنصر الذي يجاور الرغامي من الخلف؟
817,818,Y1,Anatomy,Anatomy,1,2,3,4,,,B,ABCD,العصب القحفي الذي يجتاز النفق الصدري:,2,ما هو العصب القحفي الذي يجتاز النفق الصدري؟
818,819,Y1,Anatomy,Anatomy,القعب,العقب,الزورقي,النردي,,,B,ABCD,العظم الأضخم في هيكل القدم:,العقب,ما هو العظم الأضخم في هيكل القدم؟
821,822,Y1,Anatomy,Anatomy,الانف,البلعوم الفموي,البلعوم الانفي,البلعوم الحنجري,,,C,ABCD,. يوجد النفير البلعومي السمعي في:,البلعوم الانفي,أين يوجد النفير البلعومي السمعي؟
825,826,Y2,Anatomy,Anatomy,البواب.,الإثني عشر.,الفص المذنب الكبد.,الثرب الصغير.,مساريقا القولون المعترض.,,B,ABCDE,يحد فتحة وينسلو من الأسفل:,الإثني عشر.,ما الذي يحد فتحة وينسلو من الأسفل؟
829,830,Y1,Anatomy,Anatomy,الحفرة فوق الشوك,الحفرة تحت الشوك,الحفرة تحت الكتفية,الحفرة فوق الكتفية,,,C,ABCD,يُسمى الوجه الأمامي للوح الكتف:,الحفرة تحت الكتفية,ما يُسمى الوجه الأمامي للوح الكتف؟
831,832,Y1,Anatomy,Anatomy,الكلوي,المعدي الأيسر,المساريقي العلوي,المساريقي السفلي,,,C,ABCD,يتم تروية القولون الصاعد من الشريان :,المساريقي العلوي,ما هو الشريان الذي يروي القولون الصاعد؟
833,834,Y1,Anatomy,Anatomy,الحشفة,لفافة بوك,القلفة,البصلة,,,C,ABCD,الطية الجلدية التي تغطي رأس القضيب تدعى,القلفة,ما هي الطية الجلدية التي تغطي رأس القضيب؟
834,835,Y1,Anatomy,Anatomy,الجيب الكلوي,اللب الكلوي,الحويضة,الهرم الكلوي,,,C,ABCD,يدعى القسم العلوي المتسع من الحالب :,الحويضة,ما يُدعى القسم العلوي المتسع من الحالب؟
838,839,Y1,Anatomy,Anatomy,الدهليز,البطين,مشق المزمار,الجوف تحت المزماري,,,C,ABCD,المنطقة الفاصلة بين الطيتين الصوتيين:,مشق المزمار,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟
839,840,Y2,Histology and Anatomy,Anatomy,الطبقة الكبيبة,الطبقة الحزمية,محفظة الكظر,الطبقة الشبكية,لب الكظر,,A,ABCDE,هذه الطبقة من الكظر تتألف من حبال مقوسة من خلايا عمودية متقاربة إنها :,الطبقة الكبيبة,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟
840,841,Y1,Anatomy,Anatomy,المولدة للنطاف,لايديغ,سيرتولي,لا شيء مما سبق,,,B,ABCD,الخلايا التي تتوضع في اللحمة بين النبيبات,لايديغ,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟
859,860,Y1,Anatomy,Anatomy,الأحدوبة الرشيقة,الأحدوبة الأولوية,الأحدوبة المربعة,حديبة رباعية الرؤوس الفخذية,,,B,ABCD,السطح الخلفي للفخذ تحت المدور الكبير:,الأحدوبة الأولوية,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟
860,861,Y1,Anatomy,Anatomy,ثلم الرباط الوريدي,ثلم الرباط المدور,ثلم الأجوف السفلي,ثلم المرارة,,,B,ABCD,القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد يحوي:,ثلم الرباط المدور,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟
863,864,Y1,Anatomy,Anatomy,المخي الأمامي.,المخى الأوسط.,المخي الخلفي.,العيني.,,,B,ABCD,الشريان الذي يروي معظم الوجه الوحشي للمخ :,المخى الأوسط.,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟
869,870,Y1,Anatomy,Anatomy,الدهليز,البطين,مشق المزمار,الجوف تحت المزماري,,,C,ABCD,المنطقة الفاصلة بين الطيتين الصوتيين:,مشق المزمار,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟
871,872,Y1,Anatomy,Anatomy,البصري,العيني,الفكي السفلي,الفكي العلوي,,,C,ABCD,العصب القحفي الذي يعبر الثقبة البيضية:,الفكي السفلي,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟
872,873,Y2,Histology and Anatomy,Anatomy,LH,FSH,TSH,GuRH,الأول والثاني,,A,ABCDE,تحدث عملية الاباضة بسبب الدفق الشديد لهرمون :,LH,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟
875,876,Y1,Anatomy,Anatomy,T3,T4,TSH,a + b,,,C,ABCD,يستهدف الدرق ويحفز إفراز الهرمون الدرقي:,TSH,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟
881,882,Y1,Anatomy,Anatomy,الكبد,الطحال,الدرقية,التيموس,,,B,ABCD,أكبر عقدة مفردة من النسيج اللمفاوي:,الطحال,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟
883,884,Y1,Anatomy,Anatomy,العضدية,قابضة الرسغ الزندية,قابضة الرسغ الكعبرية,الراحية الطويلة,,,A,ABCD,- العضلة الرئيسية المسؤولة عن قبض المرفق :,العضدية,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟
886,887,Y1,Anatomy,Anatomy,الخيطية,الفطرية,الورقية,المحوطة,,,C,ABCD,توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة:,الورقية,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟
887,888,Y1,Anatomy,Anatomy,القشر الكلوي,الكبيبة الكلوية,الحليمة الكلوية,اللب الكلوي,,,B,ABCD,شعيرات دموية تغلفها محفظة بومان,الكبيبة الكلوية,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟
890,891,Y1,Anatomy,Anatomy,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,الحافة من الفرع التي تشكل زاوية الفك السفلي :,الخلفية,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟
903,904,Y1,Anatomy,Anatomy,ساق القضيب,الجسم الاسفنجي,بصلة القضيب,الحشفة,,,C,ABCD,تغلف العضلة البصلية الإسفنجية :,بصلة القضيب,ما الذي تغلفه العضلة البصلية الإسفنجية؟
908,909,Y1,Anatomy,Anatomy,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة الكبرى,التثقبة الشوكية,,,A,ABCD,يخرج العصب الشوكي من :,الثقبة بين الفقرية,من أين يخرج العصب الشوكي؟
910,911,Y1,Anatomy,Anatomy,ودية,نظيرة ودية,شوكية,لا شيء مما سبق,,,B,ABCD,العضلة مصرة الحدقة معصبة بألياف :,نظيرة ودية,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟
914,915,Y1,Anatomy,Anatomy,الجانبي,الرابع,الثالث,لا شيء مما سبق,,,C,ABCD,يحوي الدماغ البيني داخله جوف البطين:,الثالث,ما هو البطين الذي يحويه الدماغ البيني داخله؟
918,919,Y1,Anatomy,Anatomy,العظم الجداري,العظم الجبهي,العظم القذالي,العظم الوتدي,,,A,ABCD,يشغل الجزء العلوي من قبة القحف,العظم الجداري,ما الذي يشغل الجزء العلوي من قبة القحف؟
919,920,Y1,Anatomy,Anatomy,البلعومي اللساني,العصب الوجهي,تحت اللساني,اللساني,,,C,ABCD,تعصب Partoid Gland بواسطة العصب:,تحت اللساني,ما هو العصب الذي يعصب الغدة النكفية؟
920,921,Y1,Anatomy,Anatomy,النفق تحت اللساني,النفق السباتى,النفق الوداجي,الثقبة البيضية,,,A,ABCD,العصب تحت اللساني يخرج من :,النفق تحت اللساني,من أين يخرج العصب تحت اللساني؟
921,922,Y2,Histology,Anatomy,خلايا مايسنر,بالعات كبيرة,خلايا كوبفر.,ليس أيا˝ مما سبق.,,,C,ABCD,الخلايا البالعة الكبدية هي :,خلايا كوبفر.,ما هي الخلايا البالعة الكبدية؟
931,932,Y1,Anatomy,Anatomy,الوريد الفخذي,الوريد المأبضي,الوريد الحرقفي الداخلي,الوريد الحرقفي الخارجي,,,A,ABCD,يصب الوريد الصافن الكبير (الأنسي) في :,الوريد الفخذي,أين يصب الوريد الصافن الكبير (الأنسي)؟
947,948,Y1,Anatomy,Anatomy,الإبطي,الما بضي,العضدي,القاعدي,,,A,ABCD,يستمر الريان تحت الترقوة بالشريان,الإبطي,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟
949,950,Y1,Anatomy,Anatomy,الجيب البولي التناسلي,الحجاب البولي التناسلي,قبو المهبل,عنق الرحم المهبلي,,,C,ABCD,الردب بين عنق الرحم والمهبل تُدعى:,قبو المهبل,ما تُدعى الردب بين عنق الرحم والمهبل؟
953,954,Y1,Anatomy,Anatomy,الأولى .,الثانية .,الرابعة.,الثالثة.,,,C,ABCD,يتم التمفصل بين قبضة وجسم القص في مستوى الفقرة الصدرية :,الرابعة.,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟
957,958,Y1,Anatomy,Anatomy,الإربي,المدور,العريض,الوريدي,,,C,ABCD,يربط الرحم بجدران الحوض الجانبية الرباط:,العريض,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟
958,959,Y1,Anatomy,Anatomy,مربعة الرؤوس الفخذية,المشطية,الخياطية,ثنائية الرؤوس الفخذية,,,C,ABCD,تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب :,الخياطية,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟
963,964,Y2,Histology,Anatomy,الطبقة الوظيفية.,الطبقة التي تملك صفيحة مخصوصة أغنى بالخاليا.,الطبقة التي تحوي على الأجزاء العميقة من غدد باطن الرحم.,كل ما سبق خطأ.,,,A,ABCD,الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية:,الطبقة الوظيفية.,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟
981,982,Y2,Anatomy,Anatomy,الجيب الأبهري.,الجيب السباتي.,جدار الأذينة اليمني.,عند تفرع الأبهر.,كل ما سبق خاطئ.,,B,ABCDE,المنعكس القلبي التثبيطي من مستقبلات الضغط الموجودة في:,الجيب السباتي.,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟
984,985,Y1,Anatomy,Anatomy,الكبد,الجلد,المعي الدقيق,الكولون,,,B,ABCD,أكبر أعضاء الجسم وزناً ومساحة :,الجلد,ما هو أكبر أعضاء الجسم وزناً ومساحة؟
987,988,Y2,Anatomy,Anatomy,الشريان الرئوي,الوريد الرئوي العلوي,القصبة اليسرى,الوريد الرئوي السفلي,الوريد الفرد,,A,ABCDE,البنية الأكثر علوا في جذر الرئة اليسرى:,الشريان الرئوي,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟
993,994,Y1,Anatomy,Anatomy,الثقبة البيضية,الثقبة المدورة,الثقبة الشوكية,الثقبة الأبرية الخشائية,,,C,ABCD,يعبر الشريان السحاني الأوسط عبر :,الثقبة الشوكية,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟
994,995,Y1,Anatomy,Anatomy,الأذن الخارجية,الأذن الداخلية,الأذن الوسطى,نفير اوستاش,,,C,ABCD,جوف هوائي يحوي عظيمات السمع:,الأذن الوسطى,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟
1007,1008,Y2,Histology,Anatomy,الإحساس بالضغط.,لإحساس بالحرارة.,الإحساس بالألم.,ليس لها دور بالإحساس.,,,C,ABCD,وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية :,الإحساس بالألم.,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟
1014,1015,Y2,Histology and Anatomy,Anatomy,الخلايا الكبدية,خلايا إيتو,خلايا كوبفر,الخلايا البطانية,,,B,ABCDE,ماهي الخلايا التي تخزن فيتامين A في الكبد :,خلايا إيتو,ما هي الخلايا التي تخزن فيتامين A في الكبد؟
1020,1021,Y1,Anatomy,Anatomy,البطين الأيسر,الأذينة اليسرى,البطين الأيمن,الأذينة اليمنى,,,C,ABCD,يحمل الشريان الرئوي الدم غير المؤكسج من :,البطين الأيمن,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟
1021,1022,Y1,Anatomy,Anatomy,البصري - حاسي,العيني - حاسي,البصري - حسي,العيني - حسي,,,A,ABCD,العصب القحفي الثاني :,البصري - حاسي,ما هو العصب القحفي الثاني؟
1022,1023,Y1,Anatomy,Anatomy,الحرقفة,الاسك,العانة,لا شيء مما سبق,,,B,ABCD,تنتمي الثلمة الاسكية الصغيرة للعظم:,الاسك,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟
1027,1028,Y1,Anatomy,Anatomy,الحلقي,الطرجهالي,الدرقي,القريني,,,A,ABCD,الغضروف المرتبط مع الحلقة الرغامية الأولى:,الحلقي,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟
1034,1035,Y1,Anatomy,Anatomy,سرجي saddle,كروى ball and socket,لقمي condyloid,صائري pivot,,,A,ABCD,المفصل يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر,سرجي saddle,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟
1038,1039,Y1,Anatomy,Anatomy,مثلث القوائم,الزندي,المبهم,الوركي,,,D,ABCD,أكبر أعصاب الجسم هو :,الوركي,ما هو أكبر أعصاب الجسم؟
1040,1041,Y1,Anatomy,Anatomy,3,4,5,6,,,A,ABCD,عدد العضلات بين العظمية الأخمصية:,3,كم عدد العضلات بين العظمية الأخمصية؟
1051,1052,Y1,Anatomy,Anatomy,C4,T4,L4,L2,,,C,ABCD,ينتهي الأبهر النازل بمستوى:,L4,أين ينتهي الأبهر النازل؟
1061,1062,Y1,Anatomy,Anatomy,النوى القاعدية,القشرة المخية,جذع الدماغ,المادة البيضاء,,,A,ABCD,المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية :,النوى القاعدية,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟
1065,1066,Y1,Anatomy,Anatomy,الخارجي,الداخلي,الانسي,الوحشي,,,B,ABCD,وجه العظم الجبهي الذي ينتمي للقحف العصبي هو الوجه ال:,الداخلي,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟
1069,1070,Y1,Anatomy,Anatomy,الصماخ العلوي,الصماخ السفلي,الصماخ المتوسط,كل ما سبق صحيح,,,C,ABCD,ينفتح الجيب الفكي على :,الصماخ المتوسط,أين ينفتح الجيب الفكي؟
1070,1071,Y1,Anatomy,Anatomy,الرأس,العنق,الجسم,الذيل,,,A,ABCD,أكبر أقسام المعثلكة:,الرأس,ما هو أكبر أقسام المعثكلة؟
1076,1077,Y1,Anatomy,Anatomy,القزحية في الأمام والعدسة في الخلف,القرنية في الأمام والقزحية في الخلف,العدسة في الأمام والشبكية في الخلف,لا شيء مما سبق,,,A,ABCD,الحجرة الخلفية للعين بين:,القزحية في الأمام والعدسة في الخلف,ما هي الحدود التشريحية للحجرة الخلفية للعين؟
1078,1079,Y1,Anatomy,Anatomy,قاعدة المشط الخامس,قاعدة المشطى الأول,الاسفيني الوحشي,B+C,,,A,ABCD,ترتكز العضلة الشظوية القصيرة على :,قاعدة المشط الخامس,أين ترتكز العضلة الشظوية القصيرة؟
1082,1083,Y1,Anatomy,Anatomy,المزمار,مشق المزمار,البطين الحنجري,الحبل الصوتي,,,A,ABCD,منطقة في الحنجرة تشمل الطيتين الصوتيتين والمسافة بينهما:,المزمار,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟
1084,1085,Y1,Anatomy,Anatomy,الأنفي,الفموي,الحنجري,لا شيء مما سبق,,,B,ABCD,الوهدة تقع في البلعوم:,الفموي,أين تقع الوهدة في البلعوم؟
1085,1086,Y1,Anatomy,Anatomy,النكفية,تحت الفك السفلي,اللسان,الثانوية,,,C,ABCD,تتوضع تحت الطية اللسانية الغدة:,اللسان,ما هي الغدة التي تتوضع تحت الطية اللسانية؟
1101,1102,Y2,Anatomy,Anatomy,العصب الوجهي.,العصب تحت اللساني.,العصب اللسانى البلعومى.,العصب الفكى السفلي.,العصب الفكى.,,A,ABCDE,ينتقل الحس غير عام (حس الذوق) من الثلث الأمامي للسان عبر: (2014 ثانية),العصب الوجهي.,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟
1105,1106,Y1,Anatomy,Anatomy,الأمعاء الدقيقة,المعدة,المرئ,البريتوان,,,A,ABCD,يروي المساريقي العلوي:,الأمعاء الدقيقة,ماذا يروي المساريقي العلوي؟
1122,1123,Y1,Anatomy,Anatomy,المنطقة الكبيبية,المنطقة الحزمية,المنطقة الشبكية,كل ما سبق خطأ,,,C,ABCD,المنطقة الأعمق من قشر الكظر :,المنطقة الشبكية,ما هي المنطقة الأعمق من قشر الكظر؟
1125,1126,Y1,Anatomy,Anatomy,الفقرة الرقبية,الفقرة الصدرية,الفقرة الصدرية,الفقرة القطنية,,,A,ABCD,- الثقبة الفقرية كبيرة ومثلثية الشكل في:,الفقرة الرقبية,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟
1126,1127,Y1,Anatomy,Anatomy,بني غامق,أبيض,مائل للصفرة,رمادي,,,C,ABCD,لون قشر الكظر :,مائل للصفرة,ما هو لون قشر الكظر؟
1129,1130,Y1,Anatomy,Anatomy,المحفظة المفصلية,الأربطة,السطوح المفصلية,العضلات,,,A,ABCD,نسيج ضام ليفي يرتكز حول السطوح المفصلية:,المحفظة المفصلية,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟
1136,1137,Y1,Anatomy,Anatomy,31,31 شفعًا,12,15,,,A,ABCD,عدد شدف النخاع الشوكي:,31,كم عدد شدف النخاع الشوكي؟
1150,1151,Y2,Anatomy,Anatomy,القعد التكفيه,العقد تحت الفكيه,العقد اللثويه,العقد الحنكية,العقد الرقبيه العميقه,,E,ABCDE,يكون التصريف اللمفى للثلث للسان مباشرة الى:,العقد الرقبيه العميقه,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟
1152,1153,Y2,Histology,Anatomy,الخلايا الكوكبية.,الخلايا الدبقية.,الخاليا الصنوبرية.,a+c,,,C,ABCD,تقوم بإفراز الميلاتونين:,الخاليا الصنوبرية.,ما هي الغدة التي تقوم بإفراز الميلاتونين؟
1155,1156,Y1,Anatomy,Anatomy,الفكي,السباتي الداخلي,السباتي الخراجي,الصدغي السطحي,,,A,ABCD,. الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي هو فرع من الشريان,الفكي,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟
1159,1160,Y1,Anatomy,Anatomy,وظيفي.,جنيني.,التوضع.,الشكل.,,,A,ABCD,التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص هو تصنيف :,وظيفي.,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟
1161,1162,Y1,Anatomy,Anatomy,الشرايين الفصية,الشرايين بين الفصوص,الشرايين المقوسة,الشرايين بين الفصيصات,,,B,ABCD,الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي :,الشرايين بين الفصوص,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟
1199,1200,Y4,Anesthesia,Anesthesia,بروبوفول,ثيوبنتال,ميثو كيزيتال,دروبيريدول,كيتامين,,E,ABCDE,الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد هو,كيتامين,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟
1204,1205,Y4,Anesthesia,Anesthesia,النايتروس اوكسايد,الهالوثان,الايزوفلوران,السيفوفلوران,الديسفلوران,,E,ABCDE,يتميز المخدر التالي بالمباشرة والصحو السريعين,الديسفلوران,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟
1210,1211,Y4,Anesthesia,Anesthesia,بروبوفول,ثيوبنتال,كيتامين,ميثوهيكزيتال,دروبيريدول,,C,ABCDE,الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد:,كيتامين,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟
1218,1219,Y4,Anesthesia,Anesthesia,السوكسنيل كولين,ألراكوريوم,سيسأتراكوريوم,بانكورونيوم,البيكورونيوم,,A,ABCDE,المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق هو,السوكسنيل كولين,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟
1221,1222,Y3,Anesthesia,Anesthesia,A. النالوكسون,B. N استيل سيستين,C. فلومازينيل,D. الفحم الفعال,E. ميركابتوبيورين,,A,ABCDE,إن الترياق المناسب للتسمم بالمورفين هو:,A. النالوكسون,ما هو الترياق المناسب للتسمم بالمورفين؟
1269,1270,Y4,Anesthesia,Anesthesia,أن الجرعة غير كافية,يجب إعطاء المزيد من الكيتامين إيقاف تلك الحركات,أن الجرعة مفرطة,ان المريض يعاني من الاختلاجات,أن الجرعة السابقة مركنة ومخدرة,,E,ABCDE,أعطي المريض جرعة من الكيتامين ولقد بقيت عيناه مفتوحتين مع رأرأة خفيفة وحركات غير هادفة أن ما سبق يشير:,أن الجرعة السابقة مركنة ومخدرة,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟
1272,1273,Y4,Anesthesia,Anesthesia,سكسونيل كولين,بانكورونيوم,اتراكوريوم,بانكورونيوم,روكرونيوم,,C,ABCDE,قبل مريض في المستشفى إلجراء عملية إسعافية حيث وجد لدى المريض أنه يعاني من قصور كلوي ما الدواء المنتخب والرخاء العضلي والتنبيه:,اتراكوريوم,ما هو الدواء المنتخب للإرخاء العضلي والتنبيب لمريض يعاني من قصور كلوي ويحتاج لعملية إسعافية؟
1274,1275,Y3,Anesthesia,Anesthesia,A. بانكورانيوم,B. أتراكوريوم,C. بيبيكورونيوم,D. ميفاكوريوم,E. دوكساكوريوم,,B,ABCDE,مريض سيخضع جراحي اسعافي ويعاني من قصور كلوي يفضل استعمال المرخي العضلي التالي:,B. أتراكوريوم,ما هو المرخي العضلي المفضل استعماله لمريض سيخضع لجراحة إسعافية ويعاني من قصور كلوي؟
