id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,keep,Reason ,Confidence 
259,Y2,يحتوي الجيب العجاني العميق الذكري ماعدا:,Anatomy,Anatomy,إحليل غشائي.,غدة بصلية إحليلية.,معصرة إحليلية.,عصب ظهر القضيب.,بصلة القضيب.,,E,ABCDE,no,"""ما عدا""",high
260,Y1,. ينشأ شريان ظهر القدم من,Anatomy,Anatomy,Anterior tiial artery,Posterior tibial artery,Popliteal artery,Femoral artery,,,A,ABCD,no,answer in english,high
261,Y1,كل ما يلي صحيح عن البريتوان عدا :,Anatomy,Anatomy,المراق إمتداد البريتوان من الأمعاء إلى الجدار الأمامي للبطن,الثرب إمتداد البريتوان بين حشا وحشا آخر,الرباط إمتداد البريتوان من حشا إلى الجدار الأمامي للبطن,غشاء مصلي له طبقة جدارية وطبقة حشوية,,,A,ABCD,no,"""ما عدا""",high
263,Y2,SOLEUS :,Anatomy,Anatomy,من عضلات الساق,تعمل دوران وحشى للساق,هو رباط داخل الركبه,تعمل عطف للركبة,,,A,ABCD,no,question in english,high
264,Y2,مايلي صحيح عن الخصية testes عدا :,Histology,Anatomy,تحاط ب الغاللة البيضاء (نسيج ضام كثيف),الحجب الضامة التي تقسم الخصية إلى فصوص تكون غير كاملة.,فصيصات الخصية تكون مفصولة عن بعضها تماما.,كل فصيص فيها يحوي 4-1 أنابيب منوية.,,,C,ABCD,no,choose the wrong answer,high
265,Y1,من صفات الترقوة ماعدا :,Anatomy,Anatomy,الوجه العلوي عليه ميزابة العضلة تحت الترقوة,النهاية الأنسية مسطحة,الوجه العلوي أملس,عظم طويل له شكل حرف S,,,A,ABCD,no,choose the wrong answer,high
266,Y1,اذا أصيبت ينتج عن ذلك :,Anatomy,Anatomy,حبسة استقبالية,حبسة كلامية,حبسة تعبيرية,حبسة شرجية,,,C,ABCD,no,indirect question,high
268,Y1,تشكل جدران الفم :,Anatomy,Anatomy,الشفتان,الشدقان,الحنك,كل ما سبق صحيح,,,D,ABCD,no,infinite answers,high
270,Y2,تمثل لفافة collies:,Anatomy,Anatomy,الوريدية السطحية للفافة السطحية لجدار البطن الامامي.,الوريدية العميقة للفافة السطحية لجدار البطن الامامي.,الوريدية العميقة للفافة السطحية للعجفن.,اللفافة العميقة للقضيب.,الوريدية العميقة للفافة السطحية للعجفن.,,E,ABCDE,no,question in english,high
271,Y2,الضفيرة العضدية: (2017 أولى),Anatomy,Anatomy,تتشكل في المثلث الأمامي للعنق .,من الأعصاب الشوكيةC 4-5-6 .,الحبل الوحشي يعطي العصب الكعبري .,الحبل الخلفي يعطي العصب الإبطي .,,,c,ABCDE,no,indirect question,high
272,Y1,كل ما يلي عن القسم الحجاجي للعظم الجبهي صحيح عدا:,Anatomy,Anatomy,يحوي في قسمه الوحشي الحفرة البكرية .,يدخل في تشكيل سقف الحجاج.,يفصله عن القسم الصدفي الحافة فوق الحجاج.,ذو توضع أفقي.,,,A,ABCD,no,"""ما عدا""",high
274,Y1,من أقسام النفرون ماعدا:,Anatomy,Anatomy,الكبيبة الكلوية,الأنبوب القريب,الشريان القطعي,الأنبوب البعيد,,,C,ABCD,no,"""ما عدا""",high
275,Y2,في العصبون:,Histology,Anatomy,القطعة الابتدائية غير محاطة بفمد النخاعين,يتم صنع النواقل العصبية في المحوار,النهاية ما بعد المشبكية قد تكون جزءا من محوار عصبون اخر,A+C,كل ماسبق خطأ,,D,ABCDE,no,infinite answers,high
276,Y2,بالنسبة لتكون الكريات الحمر في نقي العظم:,Histology,Anatomy,مع تطور الخلايا تحدث زيادة مطردة لحجم الخلية والنواة,مع تطور الخلايا يحدث تناقص مطرد في كمية الهيموغلوبين,الخلية الشبكية لا تحتوي على نواة,A+B,كل ما سبق صحيح,,C,ABCDE,no,indirect question,high
278,Y2,العضلة ثلاثية الرؤوس العضدية : (2010),Anatomy,Anatomy,تنشأ جميع رؤوسها من عظم العضد.,هي من عضلات العضد الأمامية .,يعصبها العضلى الجلدى .,باسطة المرفق .,,,d,ABCDE,no,unsure answer,high
280,Y2,تقوم القشرانيات المعدنية ب :,Histology,Anatomy,تحريض تركيب الغلوكوز,تتحول إلى تستسترون في عدة أنسجة,تحرض على إعادة امتصاص شوارد الصوديوم.,b+c,,,C,ABCD,no,infinite answers,high
291,Y1,تشمل الغلالة الوسطة ماعدا :,Anatomy,Anatomy,القزحية,المشيمية,عدسة العين,الجسم الهدبي,,,C,ABCD,no,"""ما عدا""",high
292,Y2,استجابة الاحتياجات العضوية، يتم تحريك واستهلاك النسيج الشحمي :,Histology,Anatomy,retro-orbital fat pads .,mesenteric deposits,Subcutaneous fat,retroperitoneal deposits,الثاني والثالث,,B,ABCDE,no,answer in english,high
293,Y1,يتصف عظم الزند بما يلي:,Anatomy,Anatomy,يقع في الساعد.,منه الثلمة الزندية للكعبرة.,منه الزج.,منه الناتئ المنقاري.,,,B,ABCD,no,infinite answers,high
294,Y1,hypophysis اختر الإجابة الصحيحة:,Anatomy,Anatomy,قطرها 1 سم,قسمها الأمامي عصبي,وزنها جرام واحد,كبيرة الحجم,,,A,ABCD,no,choose the right answer,high
295,Y1,كل ما يلي عن مجاورات الرغامي صحيح عدا :,Anatomy,Anatomy,يقع المرى أمام المري,يقع الشريان العضدي الرأسي أمام الرغامي,يقع الشريان السباتي المشترك أمام الرغامي,تمر قوس الأبهر أمام الرغامي,,,A,ABCD,no,"""ما عدا""",high
296,Y1,البلعوم :,Anatomy,Anatomy,يوجد توسع قبل الحنجرة يدعى باسم الردب الكمثري,يوجد في مكان التقاء اللسان مع الفلكة ثلاث طيات ناصفة ووحشيتان,يوجد تحت الفلكة انخفاض يدعى الوحدة,يعد البلعوم الأنفي جزء من أجزاء الجهاز الهضمي,,,A,ABCD,no,indirect question,high
297,Y1,تحوي الخاصرة اليمني:,Anatomy,Anatomy,الفص الكبدي الأيمن,المرارة,الكولون النازل,لا شيء مما سبق,,,D,ABCD,no,choose the right answer,high
298,Y1,يحوي الوجه الداخلي لفرع الفك السفلي :,Anatomy,Anatomy,الشوكة الذقنية,الناشزة الذقنية,اللسين,الخط الضرسي اللامي,,,B,ABCD,no,indirect question,high
299,Y1,العظم الفكي السفلي (الخاطئة):,Anatomy,Anatomy,تقع ثلمة الفك السفلي أسفل وأمام الحافة العلوية للرأد .,يتمادى الخط المائل في الخلف بالحافة الأمامية للرأد.,تقع الحفرة تحت اللسانية أعلى الخط الضرسي اللامي.,تشكل الثقبة الذقنية الفوهة الأمامية للنفق الفكي السفلي.,,,A,ABCD,no,indirect question,high
300,Y2,خلايا أكثر عددا وتتوضع في المركز :,Histology,Anatomy,خلايا ألفا.,خلايا بيتا.,خلايا سيغما.,خلايا pp .,,,B,ABCD,no,indirect question,high
301,Y1,أين تتواجد أحمال البوق :,Anatomy,Anatomy,القمع,المجل (الأنبورة),البرزخ,الجزء داخل الجدار,,,A,ABCD,no,indirect question,high
303,Y1,المستوى الذي يقسم الجسم إلى نصفين أيمن وأيسر,Anatomy,Anatomy,Sagittal plane,Frontal plane,Transverse plane,Coronal plane,,,A,ABCD,no,answer in english,high
304,Y2,يبطن بالنسيج الظهاري البسيط:,Histology,Anatomy,الحالب,الامعاء,الانبوب البولي,غشاء البريتوان,,,B,ABCD,no,infinite answers,high
305,Y2,من صفات غشاء الأمعاء الغليظة المخاطي :,Histology,Anatomy,لا توجد فيه زغابات معوية إطلاقا,الغدد المعوية طويلة ومتكدسة.,الخلايا الكأسية والماصة غزيرة جدا,كل ما سبق صحيح.,,,D,ABCD,no,infinite answers,high
306,Y1,- الناتئ الإبري يقع :,Anatomy,Anatomy,وحشي النفق السباتي,إنسي النفق السباتي,وحشي الحفرة الوداجية,إنسي الحفرة الوداجية,,,C,ABCD,no,indirect question,high
307,Y2,العظام الاسفينية في رصغ القدم: (2006),Anatomy,Anatomy,الأول هو الوحشي.,يتمفصل الأنسي في الخلف مع الزورقي.,يجاور الثالث من الخلف النردي.,يتمفصل الأوسط مع المشط الثالث.,,,b,ABCDE,no,indirect question,high
309,Y2,تحت قيد الباسطات أمام الكاحل: (2017),Anatomy,Anatomy,وتر الظنبوبية الأمامية على الطرف الأنسي.,الشريان الظنبوبي الأمامي يمر فوق القيد.,العصب الظنبوبي الأمامي يمر فوق القيد.,وتر باسطة الإبهام الطويلة على الطرف الوحشي.,,,a,ABCDE,no,indirect question,high
310,Y1,. الاجابة الصحيحة بخصوص رباعية الرؤوس الفخذية,Anatomy,Anatomy,تنشا بثلاث رؤوس من الحوض,ترتكز على الخط النعلي للظنبوب,تبسط الساق على الفخذ,هي triceps brachii,,,C,ABCD,no,choose the right answer,high
311,Y2,الأبهر كل ما يلي ماعدا:,Anatomy,Anatomy,من الشرايين المتوضعة على الجدار الخلفي لجدار البطن.,يدخل البطن عبر الفرجة الأبهرية.,ينزل أمام أجسام الفقرات القطنية.,من تفرعاته الأمامية الجذع الزلاقي.,ينقسم عادة أمام الفقرة القطنية الثالثة إلى الشريانين الحرقفيين الأصليين والشريان العجزي الناصف.,,E,ABCDE,no,"""ما عدا""",high
312,Y2,SUPINATOR,Anatomy,Anatomy,من مدورات الكتف,عصب الحجره الخلفيه للساعد,عضلة مقربة للفخذ,عضلة عميقة فى الساعد,,,D,ABCDE,no,indirect question,high
314,Y1,تشمل عضلات ضرة اليد عدا:,Anatomy,Anatomy,مبعدة الخنصر,مقربة الخنصر,قابضة الخنصر القصيرة,مبعدة الخنصر,,,B,ABCD,no,indirect question,high
316,Y1,يتلقى وريد الباب الدم من:,Anatomy,Anatomy,كل أقسام الأنبوب الهضمي عدا القناة الشرجية.,كل أقسام الأنبوب الهضمي عدا المستقيم والشرج.,كل أقسام الأنبوب الهضمي عدا الثلثين السفليين للمستقيم والقناة الشرجية.,كل أقسام الأنبوب الهضمي.,,,C,ABCD,no,indirect question,high
317,Y2,تنشأ الغدة الصنوبرية من :,Histology,Anatomy,من الوريقة العصبية الخارجية.,من الوريقة المتوسطة.,من الوريقة الداخلية.,كل ما سبق خطأ.,,,A,ABCD,no,indirect question,high
318,Y1,من عظام القسم الداني (القريب ) لعظام الرسغ (مكرر):,Anatomy,Anatomy,الحمصي.,المنحرفي.,الكبير.,المربعي.,,,A,ABCD,no,infinite answers,high
319,Y1,الحجاب الحاجز إختر الإجابة الخاطئة :,Anatomy,Anatomy,هو أهم العضلات التنفسية,القسم العضلي ينشأ من القص والأضلاع السفلية والفقرات الصدرية,المركز الوتري هو تمادي للألياف العضلية,يعصبه العصب الحجابي الذي يأتي من النخاع الشكي الرقبي,,,B,ABCD,no,choose the wrong answer,high
320,Y1,كل ما يلي من تلافيف الوجه الوحشي لنصف الكرة المخية ماعدا :,Anatomy,Anatomy,أمام المركزي,خلف المركزي,الوتد,الصدغي العلوي,,,C,ABCD,no,"""ما عدا""",high
321,Y2,من صفات الأجسام الصفائحية:,Histology,Anatomy,تعتبر علامة للخلايا التنفسية من النمط الأول.,حبيبات بقطر 400 - 100 ميكرومتر محاطة بغشاء,تعتبر علامة للخلايا التنفسية من النمط الثاني.,A+C,,,C,ABCD,no,infinite answers,high
322,Y1,الأعصاب الحسية تنقل المعلومات من الأعضاء التالية عدا:,Anatomy,Anatomy,العين,الأذن,الجلد,اللسان,,,C,ABCD,no,"""ما عدا""",high
323,Y1,المنطقة الأعمق في الكظر :,Anatomy,Anatomy,اللب,الحزمية,الشبكية,الكبيبية,,,A,ABCD,no,indirect question,high
324,Y1,. كل مايلي حول مرور الاعصاب القحفية من قاعدة القحف صحيح عدا,Anatomy,Anatomy,العصب العيني يمر من النفق البصري,العصب البكري يمر من الشق الحجابي العلوي,العصب الوجهي يخرج من الثقبة الابرية الخشائية,العصب الساني البلعومي يمر من الثقبة الوداجية,,,A,ABCD,no,"""ما عدا""",high
326,Y2,العبارة الخاطئة عن الجلد الرقيق :-,Histology,Anatomy,مشعر.,الطبقة المحببة واللامعة أكثر وضوحا.,سماكة البشرة (75 _ 150) مكرون.,نشاهد الطبقة القاعدية والشائكة بشكل رئيسي.,,,B,ABCD,no,choose the wrong answer,high
327,Y2,يسير عميقاً من الشريان السباتي ويعصب الحجاب الحاجز.,Anatomy,Anatomy,العصب ظهر الكتف,العصب اللاحق (الشوكي),العصب المبهم,العصب الحجابي,لا شيء مما سبق,,B,ABCDE,no,indirect question,high
328,Y1,كل ما يلي من الأوردة التي تستخدم لأخذ عينات من الدم عدا :,Anatomy,Anatomy,الوريد الأبطى,الوريد القاعدي,الوريد المرفقي الناصف,الوريد الرأسي,,,A,ABCD,no,"""ما عدا""",high
329,Y2,اختار الجواب الصحيح اذا كان هناك جوابا صحيحا واحدا فقط أو اختر الجواب الأكثر شمولا وتكاملا اذا كان هناك أكثر من جواب صحيح,Histology,Anatomy,تتولد الخلايا اللمفاوية في العقد اللمفاوية فقط,اللمفاويات على نوعين كبيرة وصغيرة,عند الإصابات تتحول التقاويات الى خلايا بالعة,عدد اللمفاويات في الهم يزداد في المرتفعات,عند الإصابات تتحول بعض اللمفاويات الى بلازمية,,E,ABCDE,no,choose the right answer,high
332,Y1,يحوي القسم الصخري للعظم الصدغي التضاريس التالية عدا:,Anatomy,Anatomy,الثقبة المدورة,ثقبة النفق السباتي,الناتئ الأبري ومسم السمع الباطن,الحفرة الوداجية,,,A,ABCD,no,"""ما عدا""",high
333,Y2,زاوية الحمل,Anatomy,Anatomy,تتكون بين الزند والكعبرة,تظهر فى وضعية الكعب,تقيس 15 درجة,كل ما يبق خطأ,,,C,ABCDE,no,indirect question,high
334,Y1,. يدخل في تشكيل التيه العظمي,Anatomy,Anatomy,الانفاق نصف الدائرية,القريبة,القناة القوقعية,القنوات نصف الدائرية,,,A,ABCD,no,indirect question,high
335,Y1,العضو السمعي يوجد ضمن:,Anatomy,Anatomy,القناة الموقعية,القنوات نصف الدائرية,القريبة,الكييس,,,A,ABCD,no,infinite answers,high
336,Y2,تروية العفج ما عدا:,Anatomy,Anatomy,الشريان العفجي المعتكلي العلوي هو فرع من الشريان المعدي العفجي.,الشريان العفجي المعتكلي السفلي هو فرع من الشريان المساريقي العلوي.,الوريد المعتكلي العفجي العلوي يصب في وريد الباب.,الوريد المعتكلي العفجي السفلى يصب في الوريد المساريقي العلوي.,النزح اللمفاوي للقسم العلوي ينتهي إلى العقد المساريقية العلوية.,,E,ABCDE,no,"""ما عدا""",high
337,Y1,الطبقي المحوري من ضمن:,Anatomy,Anatomy,التشريح الشعاعي,التشريح السريري,التشريح الجهازي,التشريح الفيزيولوجي,,,A,ABCD,no,infinite answers,high
340,Y1,يضم جهاز التنفس :,Anatomy,Anatomy,الجزء الناقل,الجزء المشكل للصوت,الجزء التنفسي,كل ما سبق صحيح,,,D,ABCD,no,choose the right answer,high
341,Y1,. يوجد على الكعبرة:,Anatomy,Anatomy,Radial notch,Trochlear notch,Dorsal tubercle,كل ماسبق خطأ,,,C,ABCD,no,answer in english,high
342,Y2,الخلايا المسائلة ( أو التابعة في العضلات الهيكلية :,Histology,Anatomy,تتوضع مباشرة تحت ال endomysium,يعتقد أن لها دور في تجدد النسيج العضلي,توجد في الخلايا العضلية القلبية أيضاً,الإجابتان الثانية والثالثة صحيحتان,كل ما سبق صحيح,,B,ABCDE,no,infinite answers,high
343,Y1,الخطأ عن المهاد,Anatomy,Anatomy,يقع المهاد على الخط الناصف,ماتحت المهاد الكرة الشاحبة,مافوق المهاد الغدة الصنوبرية,يرتبط بالسويقة النخامية الوطاء,,,A,ABCD,no,choose the wrong answer,high
344,Y1,. يتكون لجيم البظر من:,Anatomy,Anatomy,الشفرين الصغيرين,الشفرين الكبيرين,جبل العانة,العويشكة,,,A,ABCD,no,many answers,high
345,Y2,أي الشرايين التالية يعطي فروعا تروي الغدة تحت الفك: (2017 أولى),Anatomy,Anatomy,البلعومي الصاعد.,الصدغي السطحي .,اللساني.,الأذني الخلفي.,تحت الذقن.,,e,ABCDE,no,choose the right answer,high
346,Y1,ما يلي من تلافيف الوجه السفلي لنصف الكرة المخية ماعدا :,Anatomy,Anatomy,المستقيم,حصان البحر,اللساني,المحجن,,,B,ABCD,no,"""ما عدا""",high
348,Y2,توجد خلايا تتوضع ضمن lacunae,Histology,Anatomy,Adipose tissue,Cartilage,Bone,Fibrous connective tissue,Cartilage + bone,,E,ABCDE,no,answer in english,high
350,Y1,على وجهه السفلي تلم لمرور وتر الشظية الطويلة :,Anatomy,Anatomy,النردي,العقب,الزورقي,القعب,,,A,ABCD,no ,indirect question,high
351,Y1,كل ما يلي صحيح فيما يتعلق بحدود الغدة النكفية عدا :,Anatomy,Anatomy,في الأمام الثاني الخشائي,في الخلف الخشاء,في الخلف العضلة القترانية,في الأمام فرع العظم الفكي السفلي,,,A,ABCD,no,"""ما عدا""",high
352,Y1,أضخم عظم في هيكل القدم:,Anatomy,Anatomy,.Calcaneum,Navicular .,Talus .,Cuboid .,,,A,ABCD,no,answer in english,high
353,Y1,. البربخ هو,Anatomy,Anatomy,Penis,Epididymis,Scrotum,Teste,,,B,ABCD,no,answer in english,high
356,Y2,اي من الخلايا الآتية في الظهارة التنفسية تعد,Histology,Anatomy,الخلايا الكأسية,الخلايا الفرشاتية.,خلايا كولشيسكي.,الخلايا القاعدية.,,,B,ABCD,no,choose the right answer,high
357,Y1,115من عضلات الزنار الكتفي المرتبطة بالعضد,Anatomy,Anatomy,الصدرية الكبيرة,تحت الترقوة,فوق الشوكية,الدالية,,,B,ABCD,no,indirect question,high
359,Y2,يتكون الوعاء الدموي مما يلي ما عدا :,Histology and Anatomy,Anatomy,طبقة متوسطة من الياف عضلية مخططة,ظهارة بسيطة مسطحة,نسيج ضام تحت البطاني,صفيحة مرنة داخلية,,,A,ABCDE,no,"""ما عدا""",high
360,Y1,. جس النبض,Anatomy,Anatomy,الشريان الكعبري,الابهر الصاعد,الشريان الابطي,كل ماسبق خطأ,,,A,ABCD,no,indirect question,high
362,Y2,العضلات الداخلية لليد:,Anatomy,Anatomy,تعصب كلها من الزندى,تعطف المفاصل بين السلاميات,أربع منها لا تنشأ من العظام,ترتكز أوتارها على حواف قواعد السلاميات,,,C,ABCD,no,indirect question,high
364,Y1,عضلات تقوم بالدوران الوحشي في الذراع عدا:,Anatomy,Anatomy,المدورة الكبيرة,الدالية,المدورة الصغيرة,تحت الشوك,,,A,ABCD,no,"""ما عدا""",high
365,Y1,يضم الغمد السباتي ما يلي عدا:,Anatomy,Anatomy,الشريان السباتي الباطن,الشريان السباتي الظاهر,الشريان المبهم,الوريد الوداجي الباطن,,,B,ABCD,no,"""ما عدا""",high
366,Y1,وظائف الميلاتونين ما عدا:,Anatomy,Anatomy,ينظم الإيقاعات اليومية,ينظم درجة الحرارة والتناسل,يزيد الاستقلاب,ينظم الوظيفة القلبية,,,C,ABCD,no,"""ما عدا""",high
369,Y1,. العضلات الاتية هي من العضلات السطحية في العنق ماعدا,Anatomy,Anatomy,Intercostal musles,Trapezius,Suprahyoid muscles,Sterocleidomastoid,,,A,ABCD,no,answer in english,high
370,Y1,وظيفة العضلة الظنبوبية الخلفية:,Anatomy,Anatomy,شتر القدم,القبض الظهري,القبض الاخمصي,A + C,,,D,ABCD,no,choose the right answer,high
371,Y2,(اشر إلى الخيار الخاطئ) جهاز ها فرس يتألف من:,Histology,Anatomy,هو ثابت لا يتبدل,صفيحات متراكزة,قناة مركزية,توضع الصفيحات بشكل مواز للمحور الطويل للعظم,تتوضع الـ Osteocytes غالباً بين الصفيحات.,,A,ABCDE,no,choose the wrong answer,high
374,Y2,يتم إفراز الهرمون المضاد للإدرار ADH من عصبونات تقع أجسامها في :,Histology,Anatomy,الأنوية جانب البصرية,الأنوية فوق البصرية,الأنوية فوق البطينية,الأنوية جانب البطينية,,,B,ABCD,no,indirect question,high
375,Y1,العظم الصدغي اختر الإجابة الخاطئة :,Anatomy,Anatomy,يظهر على وجهه الداخلي الصماع السمعي الظاهر.,يجاوره في الأعلى العظم الجداري.,يحتوي على أعضاء السمع والتوازن.,يجاوره في الأمام العظم الوتدي.,,,A,ABCD,no,choose the wrong answer,high
376,Y1,. تقع الاعضاء التالية خلف البريتوان ماعدا,Anatomy,Anatomy,المعدة,الكلية اليسرى,الكظر,الكلية اليمنى,,,A,ABCD,no,"""ما عدا""",high
379,Y1,Superior (Dorsal) Surface.,Anatomy,Anatomy,Anterior limb of the internal capsule,Zona incerta,Third Ventricle,Lateral Ventricle,,,None of the above,ABCD,no,indirect question & no answer,high
381,Y2,كل مما يلي من مميزات القصبات عدا:,Histology,Anatomy,تتشكل بعد التفرع العاشر للقصبات.,لا تحوي نسيج غضروفي ولا غدد في مخاطيتها,تبطن القصيبات الانتهائية الصغيرة بظهارة مطبقة كاذبة اسطوانية.,تحوي نسيج ضام كثيف مرتبط بالعضلات الملساء.,,,C,ABCD,no,"""ما عدا""",high
385,Y2,ترتبط العضلات العميقة التالية للمثلث الخلفي للعنق بالعظم القذالي ما عدا:( 2014 ثانية),Anatomy,Anatomy,المستقيمة الرأسية الأمامية.,المستقيمة الرأسية الجانبية.,المستقيمة الرأسية الخلفية الصغيرة.,المستقيمة الراسية الخلفية الكبيرة.,المنحرفة الرأسية السفلية.,,e,ABCDE,no,"""ما عدا""",high
386,Y1,فيما يتعلق بالشريان الكلوي,Anatomy,Anatomy,الأيمن أطول من الأيسر,يسير الشريان الكلوي الأيمن أمام الوريد الأجوف السفلي,ينشأ بشكل متعامد مع الأبهر البطني,D - A + C صحيحتان,,,D,ABCD,no,choose the right answer,high
387,Y2,العضلة التي تبعد الطيتين الصوتيتين:,Anatomy,Anatomy,Thyro arytenoid,Crico thyroid,Lateral cricoarytenoid,Oblique arytenoid,Posterior cricoarytenoid,,E,ABCDE,no,answer in english,high
388,Y1,Regional Anatomy,Anatomy,Anatomy,التشريح الناحي,التشريح الوصفي,التشريح السريري,التشريح الجهازي,,,A,ABCD,no,question in english,high
390,Y1,العضلات التي تقوم بالبسط في الذراع ما عدا:,Anatomy,Anatomy,الألياف الأمامية للدالية,مثلثة الرؤوس العضدية,الصدرية الكبيرة,المدورة الكبيرة,,,A,ABCD,no,"""ما عدا""",high
393,Y2,في الظهارية التنفسية:,Histology and Anatomy,Anatomy,الخلايا الفرشاتية تسمى خلايا كولشيسكي,الخلايا الفرشاتية مستقبلات حسية كيميائية,الخلايا القاعدية هي خلايا جذعية,الاجابتان A+B,الاجابتان B+C,,E,ABCDE,no,choose the right answer,high
396,Y2,يمتد مباشرة على عظم العضد: (2007 أولى),Anatomy,Anatomy,العصب الزندي .,العصب العضلي الجلدي .,العصب الكعبري .,الشريان العضدي العميق .,,,b,ABCDE,no,infinite answers,high
400,Y1,تكون الفروع المرافقة للشراييت الرئيسية التالية صحيحة ما عدا:,Anatomy,Anatomy,السباتي الباطن / الشريان النخامي السفلي,المخفي الامامي/فروع للعنفرة المشيمية في القرن السفلي للبطين الجانبي,القاعدي / الشريان التيهي,المخي المتوسط / شريان النزيق المخي,,,الشريان المخيخي السفلي الخلفي / فروع الضفيرة المشيمية للبطين الرابع,ABCD,no,"""ما عدا""",high
404,Y1,- ليست من عضلات الوجه التعبيرية :,Anatomy,Anatomy,الدويرية الفموية,الماضغة,الوجنية,خافضة صوار الفم,,,C,ABCD,no,choose the wrong answer,high
405,Y1,كل ما يلي صحيح عن جذر القضيب عدا :,Anatomy,Anatomy,يتألف من ثلاث كتل من النسيج الناعظ,تقع بصلة القضيب على الخط الناصف,ينغطى السطح الخارجي للبصلة بالعضلتين الاسكيتين الكهفيتين,تتمادى البصلة نحو الأمام ضمن جسم القضيب وتشكل الجسم الأسفنجي,,,C,ABCD,no,"""ما عدا""",high
406,Y1,. من عضلات الطبقة الخلفية للساعد,Anatomy,Anatomy,الكابة المربعة,المابة الكدورة,المرفقية,الراحية الطويلة,,,C,ABCD,no,infinite answers,high
407,Y2,المجاورات الأمامي للكلية اليسرى كل مما يلي عدا:,Anatomy,Anatomy,المعدة.,العفج.,الطحال.,المعثكلة.,الكولون النازل.,,B,ABCDE,no,"""ما عدا""",high
408,Y2,ما يلي صحيح بالنسبة للقلب :,Histology,Anatomy,ألياف بيركنجي هي محاوير العصبونات تقع اجسامها في العقدة الجيبية الأنينية,الياف بيركنجي تنقل التنبيهات بشكل أسرع من الخلايا العضلية القلبية,ينظم إيقاع ضربات القلب الجهاز العصبي الذاتي ( اللاإرادي) الودي ونظير الودي,الإجابتان الثانية والثالثة صحيحتان,كل ما سبق خطأ,,D,ABCDE,no,choose the right answer,high
409,Y1,العظام المسطحة (الخاطئة):,Anatomy,Anatomy,بين صفيحتيها عظم كثيف.,عظم الكتف مثال اخر.,تنمو باتجاهين.,من الأمثلة عليها عظام القحف.,,,A,ABCD,no,choose the wrong answer,high
410,Y2,في القضيب:,Histology and Anatomy,Anatomy,جسمين كهفيين محاطين بغلالة بيضاء من نسيج ضام كثيف,القلفة تحوي عضلة مخططة,النسيج الناعظ يحوي عضلات ملساء,كل ما سبق صحيح,A+C,,E,ABCDE,no,choose the right answer,high
411,Y1,. تاتي اهمية الضلع الاولى من علاقته مع,Anatomy,Anatomy,الشريان والوريد تحت الترقوة,الشريان السباتي الخارجي,الشريان السباني المشترك,العضلة الاخمعية الخلفية,,,A,ABCD,no,indirect question,high
413,Y1,يتوضع الكولون السيني في:,Anatomy,Anatomy,الناحية المغبثية اليمنى,الناحية المغبثية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,no,indirect question,high
414,Y1,- يقع في مستوى الفقرة الرقبية السادسة:,Anatomy,Anatomy,الغضروف الدرقي,الغضروف الحلقي,الغضروف الطرجهالي,غضروف الفلكة,,,A,ABCD,no,indirect question,high
415,Y1,المصطلح الموافق للمجارة هو :,Anatomy,Anatomy,NOSE,CHOANA,UVALS,VESTIBULUM,,,B,ABCD,no,answer in english,high
416,Y2,اختار الجواب الصحيح اذا كان هناك جوابا صحيحا واحدا فقط أو اختر الجواب الأكثر شمولا وتكاملا اذا كان هناك أكثر من جواب صحيح,Histology,Anatomy,نسبة الخلية الدموية المتعادلة 55 إلى 68%,نسبة الخلية القاعدية 2-5 %,نسبة الخلية الحمضية 8-10%,نسبة احادية النواة 4-15%,نسبة الخلية اللمفاوية 20-30 %,,A,ABCDE,no,choose the right answer,high
417,Y1,كل ما يلي عن تروية المفصل الفكي الصدغي صحيح عدا :,Anatomy,Anatomy,الشريان الصدغي السطحي.,الشريان الأذني الخلفي.,الشريان الأذني الصدغي.,الشريان الصدغي العميق.,,,C,ABCD,no,"""ما عدا""",high
419,Y2,توجد في الغدد المعدية الأنواع الخلوية التالية عدا :,Histology and Anatomy,Anatomy,خلايا مخاطية,خلايا جدارية,خلايا غدية صماوية,كل ما سبق صحيح,,,D,ABCDE,no,choose the right answer,high
420,Y1,تتوضع تحت الطية اللسانية الغدة,Anatomy,Anatomy,النكفية,تحت الفك السفلى,تحت اللسان,الثانوية,,,C,ABCD,no,indirect question,high
421,Y2,تكثر الألياف الشبكية في :,Histology,Anatomy,الطحال.,العقد اللمفية.,نقي العظم الأحمر.,كل ما سبق صحيح.,الأول والثاني.,,D,ABCDE,no,choose the right answer,high
422,Y1,تحوي الخاصرة اليسرى:,Anatomy,Anatomy,الكولون النازل,الطحال,الفص الكبدي الأيسر,المعدة,,,A,ABCD,no,infinite answers,high
423,Y2,يحوي سرير الظفر على :,Histology and Anatomy,Anatomy,الطبقة الشالكة والمتقربة,الطبقة القاعدية والشالكة والمتقربة,الطبقة القاعدية والشالكة فقط,كل ما سبق خطأ,,,C,ABCDE,no,infinite answers,high
